id,title,imdb_id,pred_genre,imdb_genres
594979,Elsie Hooper,tt5670948,mystery,"Action,Short"
27579,The American,tt1440728,thriller,"Crime,Drama,Thriller"
591903,Mimicry Freaks,tt10092736,horror,"Horror,Mystery,Thriller"
102686,Truth About Kerry,tt0923954,mystery,"Drama,Mystery,Thriller"
551964,Abrakadabra,tt8422146,horror,"Horror,Mystery,Thriller"
1518457,Seductive Ghostly Beauty,tt4422968,thriller,Horror
32627,The MacKintosh Man,tt0070351,mystery,Thriller
468842,Altered Spirits,tt1945053,horror,"Action,Sci-Fi"
85968,Candy Stripe Nurses,tt0071274,horror,"Comedy,Thriller"
611754,Brochevarevarura,tt9742334,mystery,Comedy
44172,The Falcon Strikes Back,tt0035854,mystery,"Crime,Drama,Film-Noir"
68905,Shikoku,tt0213245,horror,"Drama,Horror,Mystery"
24771,Beck 08 - Trails in Darkness,tt0122394,thriller,"Crime,Mystery,Thriller"
478305,Blurred,tt4095636,thriller,"Drama,Mystery,Thriller"
366899,The Shelter,tt12003156,thriller,"Drama,Short"
318836,Vampirismus,tt0853220,horror,"Fantasy,Horror,Sci-Fi"
1633465,Harmless,tt32670259,horror,"Action,Sci-Fi,Short"
73733,Irene Huss: The Man With the Small Face,tt1825824,thriller,"Crime,Drama,Thriller"
9761,Elephants Dream,tt0807840,mystery,"Animation,Sci-Fi,Short"
269349,The Lady in the Morgue,tt0030342,mystery,"Action,Crime,Drama"
472644,Samui Song,tt6596796,thriller,"Drama,Thriller"
1229528,Anna - A Tale for Tomorrow,tt25030310,thriller,"Adventure,Sci-Fi,Short"
337021,Little Miss Innocence,tt0124897,mystery,Drama
574793,Kamen Rider Stronger: The Movie,tt2076239,scifi,"Sci-Fi,Short"
295636,Under the Bed 2,tt5875622,horror,"Horror,Thriller"
110898,Apricot,tt1655566,thriller,"Drama,Mystery,Short"
1151031,Bring Her Back,tt32246771,horror,"Horror,Mystery"
1492566,Dracula Eternal,tt36457928,horror,Horror
482631,After School Horror 2,tt7472366,horror,Horror
209672,Pastor Jarman Comes Home,tt0052054,mystery,"Drama,Mystery"
1188843,Endless Summer Syndrome,tt28521906,thriller,"Comedy,Drama,Thriller"
464566,Maze,tt5752606,mystery,"Biography,Crime,Drama"
321686,The Story of Jang-hwa and Heung-ryeon,tt0349644,mystery,Drama
409056,Along Came the Devil,tt3619070,horror,"Drama,Horror,Thriller"
579148,Genesis Climber Mospeada: Love Live Alive,tt1151336,mystery,"Animation,Music,Sci-Fi"
18540,Freezer Burn,tt0496304,horror,"Comedy,Drama,Sci-Fi"
1032612,Mirror Moves,tt15975334,mystery,Thriller
424465,Forest Primeval,tt1263784,horror,"Adventure,Horror,Sci-Fi"
165027,Light Gradient,tt1351770,thriller,"Drama,Mystery,Romance"
1292540,Dracula: The Count's Kin,tt32059976,horror,"Crime,Horror"
312131,The Phoenix Project,tt3430042,thriller,"Drama,Sci-Fi"
85899,The Lone Wolf in London,tt0039579,mystery,"Action,Comedy,Crime"
749241,Muse,tt12001430,thriller,"Sci-Fi,Short"
452010,Beauty and the Dogs,tt6776572,mystery,"Crime,Drama,Thriller"
272859,Surakksha,tt0246261,thriller,"Action,Adventure,Crime"
1082518,Bindur Cheley,tt0154233,mystery,Drama
1174877,Amish Stud: The Eli Weaver Story,tt28997100,mystery,"Biography,Crime,Drama"
1101722,Faraar,tt0244508,mystery,"Mystery,Thriller"
1688029,Reiteration,tt42343348,thriller,"Drama,Sci-Fi,Short"
18673,8x10 Tasveer,tt1105709,thriller,"Action,Crime,Drama"
1022021,Hotel Cascada,tt22052770,horror,"Horror,Short"
650296,Explorers,tt7341460,scifi,"Animation,Sci-Fi,Short"
683602,Mashin Sentai Kiramager the Movie: Bebop Dream,tt11928952,scifi,"Action,Fantasy,Short"
756452,Carnivore,tt12343956,horror,"Comedy,Drama,Horror"
662903,I Blame Society,tt11469196,mystery,"Comedy,Horror,Thriller"
2503,The Bourne Ultimatum,tt0440963,thriller,"Action,Mystery,Thriller"
143876,Very Russian Detective,tt1334035,mystery,"Comedy,Crime,Mystery"
497537,Future Boy Conan,tt8942902,mystery,"Adventure,Animation,Drama"
617135,Meri zabaan,tt0243416,mystery,"Action,Crime,Drama"
956330,Origami,tt8707882,horror,"Sci-Fi,Short"
477611,The Laughing Policeman,tt1297980,mystery,"Crime,Drama,Thriller"
284176,Target... Earth?,tt0248522,scifi,Documentary
631191,Corporate Monster,tt10378788,horror,"Action,Drama,Horror"
73587,Cyborg Cop,tt0109517,scifi,"Action,Sci-Fi"
73920,Dead Man's Letters,tt0091759,horror,"Drama,Sci-Fi"
337550,Flatland,tt0814106,scifi,"Animation,Short"
1213602,Creep Box,tt23709040,horror,Sci-Fi
578432,Birbal Trilogy: Case 1 – Finding Vajramuni,tt8364132,thriller,"Crime,Thriller"
245482,Shatru,tt1954818,thriller,"Action,Crime,Drama"
321723,A Ghost Story of Joseon Dynasty,tt0390117,horror,Horror
103928,Goodbye Princess,tt0103619,thriller,"Drama,Mystery"
42036,The Man in the Brown Suit,tt0097824,mystery,"Crime,Mystery"
59276,Fissures,tt0443354,thriller,"Crime,Drama,Mystery"
686118,We're Not Here to Fuck Spiders,tt6457210,thriller,Crime
1048178,Chargesheet,tt1368453,horror,"Drama,Mystery,Thriller"
1598785,Milky☆Subway: The Galactic Limited Express - the Movie,tt39228706,scifi,"Animation,Comedy,Sci-Fi"
1353531,Regional Domino Competition,tt32096547,thriller,"Comedy,Musical,Sci-Fi"
893827,Inmotep,tt15876650,mystery,Mystery
1572644,Double Kill,tt37527070,thriller,Action
828127,Cliff of Death,tt1552741,thriller,Mystery
71732,The Right of the Weakest,tt0454536,thriller,"Crime,Drama,Thriller"
265602,Zoe Gone,tt3239154,horror,"Crime,Drama,Mystery"
1125623,Renner,tt13153584,scifi,"Sci-Fi,Thriller"
501126,CREEP,tt3164756,horror,Drama
157353,Transcendence,tt2209764,thriller,"Drama,Sci-Fi,Thriller"
89307,Perry Mason: The Case of the Scandalous Scoundrel,tt0093724,mystery,"Crime,Drama,Mystery"
91534,To Kill For,tt0101860,thriller,Thriller
869275,Check Mate,tt13841476,horror,Romance
539566,The Indelible Stain,tt1851995,mystery,"Drama,Short,Thriller"
1036250,Dr. Watson and the Darkwater Hall Mystery,tt2256689,mystery,Mystery
1264985,A Study In Scarlet,tt21259572,mystery,"Drama,Music,Mystery"
42784,Dog Eat Dog!,tt0058024,mystery,"Adventure,Crime,Drama"
185086,Office Lady Rope Slave,tt0225465,thriller,"Drama,Horror"
209780,Crawlspace,tt2141777,horror,"Horror,Thriller"
899686,Homestay,tt17077058,mystery,"Drama,Fantasy,Mystery"
76812,Black Butterfly,tt2090465,thriller,"Drama,Mystery,Thriller"
1464150,Massacre in Dornelas,tt36295063,horror,"Horror,Short"
621692,Chicken Curry Law,tt7189494,horror,Drama
230573,Ghost in the Well,tt0202946,horror,Horror
260896,The Vatican Affair,tt0062630,mystery,"Action,Adventure,Crime"
255389,Hooked Up,tt3160020,horror,"Comedy,Horror,Thriller"
37194,Penny and the Pownall Case,tt0040687,mystery,"Crime,Drama,Mystery"
401108,Discordia,tt5319992,mystery,"Drama,Mystery"
1181817,Las Nogas,tt11260480,horror,"Animation,Short"
636147,Cicada Song,tt8549744,thriller,"Mystery,Thriller"
133530,The Healing,tt2290836,thriller,"Drama,Horror,Mystery"
806137,The New Man in Charge,tt1712931,thriller,Short
1556843,Love Machine,tt38693534,thriller,"Comedy,Sci-Fi,Short"
459583,The Stalker Club,tt6337910,thriller,"Drama,Mystery,Thriller"
505936,Setan Budeg,tt1356839,horror,"Comedy,Horror"
1050613,Intrusion,tt16953170,thriller,"Sci-Fi,Short"
186889,Devil's Tower,tt2290534,thriller,Horror
635706,Sebastina: The Curse,tt13288642,thriller,Horror
986210,Space Wars: Quest for the Deepstar,tt16235342,scifi,"Action,Adventure,Sci-Fi"
56253,Archon Defender,tt1490539,scifi,"Action,Animation,Fantasy"
381651,Mexican Manhunt,tt0046067,mystery,"Crime,Mystery"
950247,The Eye: Calanthek,tt17372586,scifi,"Adventure,Horror,Sci-Fi"
399343,Fräulein: A Winter’s Tale,tt4637050,mystery,"Comedy,Fantasy,Sci-Fi"
380734,Forsaken,tt5127300,horror,Horror
1262124,Impulse,tt18304514,thriller,"Action,Thriller"
449463,Turtle Island,tt2492540,thriller,"Horror,Thriller"
565912,"Jung, blond, tot - Julia Durant ermittelt",tt8412830,thriller,Crime
1147799,Scorched Earth,tt26340854,scifi,"Mystery,Short"
260947,Something Wicked,tt1327601,horror,"Drama,Horror,Mystery"
446029,Letters to Amina,tt5197092,thriller,Drama
54133,Madhouse,tt0093468,horror,Horror
375419,The Blue Arrow,tt0312732,mystery,Action
363605,For those who still exist,tt4433472,thriller,"Documentary,Short"
1633512,A entrega,tt39775014,thriller,"Action,Short"
670893,Delirio de muerte,tt0264523,thriller,Drama
823564,Cafard,tt0984012,scifi,"Animation,Fantasy,Short"
1441107,Checkpoint,tt35937617,thriller,"Sci-Fi,Short"
633130,Krazy Spooks,tt0151250,horror,"Animation,Short"
354091,Alien Babes,tt4022932,thriller,Sci-Fi
1319558,In the Realm of Ripley,tt32986426,mystery,"Mystery,Sci-Fi,Thriller"
320904,Abnormal Experience: The Sixth Sense,tt1304996,thriller,Horror
353879,Phantom,tt3469244,thriller,"Action,Drama,Thriller"
753957,The Xrossing,tt9598834,thriller,"Crime,Drama,Thriller"
147632,Hostage,tt0085689,thriller,"Biography,Drama,Thriller"
553023,Music for the Chosen,tt3967018,horror,"Fantasy,Horror,Short"
419826,Bundle of Nerves,tt4269920,horror,"Comedy,Horror,Short"
399897,The Legend of Siren XXX,tt1760446,thriller,"Drama,Horror"
21832,Neon Genesis Evangelion: Death and Rebirth,tt0169880,thriller,"Action,Animation,Drama"
1171548,Ichiko,tt28803581,thriller,Thriller
2160,Voyage to the Bottom of the Sea,tt0055608,scifi,"Action,Adventure,Drama"
84488,Cleopatra: Queen of Sex,tt0065588,mystery,"Adventure,Animation,Comedy"
1103825,War of the Worlds: The Attack,tt12519802,thriller,"Horror,Sci-Fi,Thriller"
406110,We've Forgotten More Than We Ever Knew,tt4499572,mystery,"Drama,Sci-Fi"
1140646,The Roast,tt16154418,thriller,"Short,Thriller"
1085132,Subconscious Disconnect,tt2064939,mystery,"Drama,Mystery,Sci-Fi"
1278429,Dysmorphia,tt12992110,horror,"Horror,Short"
56158,Vortex,tt0086560,thriller,Thriller
1340953,Babezilla vs. the Cyber Skanks: Rise of MechaBabezilla,tt31262765,scifi,Sci-Fi
482249,Invoking 4,tt7475886,horror,Horror
362148,The Nuclear Family,tt0217699,mystery,"Drama,Sci-Fi"
138103,The Expendables 3,tt2333784,thriller,"Action,Adventure,Thriller"
229273,The Dawn Rapists,tt0078466,thriller,"Crime,Drama,Horror"
97692,The Witches Mountain,tt0068966,horror,Horror
106620,Metal Messiah,tt0079549,mystery,"Musical,Sci-Fi"
37930,The Evilmaker,tt0220451,horror,Horror
79989,Bride of the Incredible Hulk,tt0078904,horror,"Action,Adventure,Drama"
71328,The Boy She Met Online,tt1536536,thriller,Thriller
1434327,Yesterday is Gone,tt32627494,mystery,"Drama,Short"
6951,Turner & Hooch,tt0098536,thriller,"Comedy,Crime,Drama"
519339,Occult Bolshevism,tt7481212,mystery,Horror
424264,Lock In,tt5229236,thriller,"Short,Thriller"
419798,The Visitor,tt4938930,horror,"Drama,Family,Mystery"
697960,Collision Earth,tt11765278,scifi,Sci-Fi
