id,title,poster_path,human_verdict
548084,"The Perfect Murder",/1iD7jmtft3FBDHFl8NyeqnCE76y.jpg,no
1634691,"Little Signs",/gkbdODtAmZUIFUs3PZu5gn9wlMj.jpg,no
28910,"Mark of the Vampire",/A6JN2kIEYwXEHHmqEa86aMKDJj8.jpg,no
84770,"The Large Rope",/vQjXXWsKyCaX2iFQ47QGQVZFcF.jpg,no
517574,"Doombeach",/6iSihovuRiQgwR8UXKwtfhrPqzH.jpg,no
651517,"Riverdead",/kodYGucCD6b5xFBp8AmJlrR8OJk.jpg,no
1225036,"Ha Khel Savlyancha",/f1pflR0RgvJEbq0yLlbij4yukJD.jpg,no
795813,"I'm Your Man",/v13p6KlgD7Y1Tas6X8GLJzv5zRe.jpg,no
781001,"That",/8mtyB2mSpIVH1MdcCpqaoTFmslu.jpg,no
539980,"Maigret at the Minister",/wrtM6tVpUcHJQOMzf7ukiheXFFX.jpg,no
160399,"Megazone 23 III - Part 1 - The Awakening of Eve",/xDuIApsp946VbJZBM4jtlNfAaLz.jpg,no
51565,"The Dragon Murder Case",/cTuPo6R2d3KBtfHa1CLd0QWsgpG.jpg,no
483586,"Rites of Blood",/izXzF9teEOwAVJJea23103SDrAy.jpg,no
1068455,"All That You Love Will Be Carried Away",/l0zWH6l9sW5rutzb2H7cMjxP1qT.jpg,no
80342,"Lady Dragon 2",/jLfgHVaGAwwxuvB7Pacpknn1cUY.jpg,no
213215,"The Returning",/fX5tOZShILODrIFSy7Q6TlRi9Gv.jpg,no
64568,"Taste of Fear",/k1Eq0XpDAsCkoGUGv5rV8c4uQUs.jpg,no
14594,"The Thin Man Goes Home",/xKnTU1LOeRU8AubY2LO5lGRiPpv.jpg,si
27509,"The Penalty",/ct5XMbwZWv3SzZ01lYM4rQihRmA.jpg,no
340758,"Never Mention Murder",/pprRnPzu0tW9nu4FwPeUwBy4l6Z.jpg,no
1700685,"This is Not an Exit",/rVp6LxdZCfa8dvuSYx5NcrFevY1.jpg,no
324153,"The Shadow Laughs",/kb4g2rkUYJIXInXQNyKDawTOH6A.jpg,no
29297,"Destination Inner Space",/yUaBoXRxeLPcsJzQY9UeAE4ZFzE.jpg,no
482337,"Benaam",/9e8FRv6cRiDNTmEO8uupDt7NBzA.jpg,no
440871,"Ghost Valley Raiders",/saSeGf163y3lYB7Q51k1aLkDFMK.jpg,no
535249,"Our Correspondent",/vTIOSyqOoLdxBkpfeTdfwwQ2QMP.jpg,no
44169,"The Falcon in Danger",/tYO1a5ZXLNosJ1iN0W84kSMn1Hg.jpg,no
36778,"Spellbinder",/lthWQAcAmcJ3InuauNuCMgqEVHX.jpg,no
138999,"Little Corey Gorey",/78qQk4jUgsx5Cb6JxKpNt4m0jnP.jpg,no
81829,"Bulldog Drummond",/7pN3nEDQBfQRjrtgOwJ3WBBm23F.jpg,no
267338,"Love, Honor and Oh-Baby!",/4VQ6sMtsc4LBnwpswsr1T8mlhtV.jpg,no
75506,"World Without End",/flvqHHFMBCks5Mlb4HWydUZcwbV.jpg,no_seguro
633786,"Faulty Father",/66Leedz6XSF6S39uHFjsa3rHruO.jpg,no
921652,"Body of Ashes",/fS4P9mxci6hBGR8LDLusBEvtoPT.jpg,no
325622,"The Hound of the Baskervilles",/7qAPb1Q7ZoikemUPQu8rgtsmF3r.jpg,no
668985,"Who Killed Eve?",/rqJLbhnTv7CoQyEr9IZZn7BniOV.jpg,no
