id,label,score,title,year,is_animal,is_creature
2969,uncertain,0.323,A Daughter Of Destiny,1928,False,False
14594,none,0.582,The Thin Man Goes Home,1944,False,False
19131,uncertain,0.341,Scotland Yard Hunts Dr. Mabuse,1963,False,False
19169,uncertain,0.482,Nightmare Alley,1947,False,False
19971,doll,0.519,The Little Girl Who Lives Down the Lane,1976,False,True
20043,uncertain,0.227,Royal Space Force - The Wings of Honneamise,1987,False,False
24008,uncertain,0.186,Monkey Business,1952,False,False
25004,uncertain,0.29,Black Ice,2007,False,False
27509,uncertain,0.22,The Penalty,1920,False,False
28910,uncertain,0.332,Mark of the Vampire,1935,False,False
29297,uncertain,0.324,Destination Inner Space,1966,False,False
31948,uncertain,0.371,Gray Lady Down,1978,False,False
32849,uncertain,0.456,Abandoned,1949,False,False
33546,uncertain,0.425,The Time of Their Lives,1946,False,False
34734,uncertain,0.383,Stir of Echoes: The Homecoming,2007,False,False
36778,uncertain,0.486,Spellbinder,1988,False,False
38456,uncertain,0.249,Charlie Chan's Murder Cruise,1940,False,False
40091,uncertain,0.222,Sex Madness,1938,False,False
40252,witch,0.574,Witchboard III: The Possession,1997,False,True
44169,bird,0.551,The Falcon in Danger,1943,True,True
47062,uncertain,0.217,Miraculous Virgin,1967,False,False
47286,uncertain,0.464,Cool Air,1999,False,False
51565,snake,0.687,The Dragon Murder Case,1934,True,True
52204,uncertain,0.341,The Brain Eaters,1958,False,False
54539,uncertain,0.198,The Inhuman Woman,1924,False,False
56429,uncertain,0.431,Up from the Depths,1979,False,False
58421,uncertain,0.225,Ignition,2002,False,False
60523,uncertain,0.258,Chicago Calling,1951,False,False
64568,uncertain,0.285,Taste of Fear,1961,False,False
67430,uncertain,0.186,Zoo zéro,1979,False,False
69351,uncertain,0.256,Beauty and the Beast,2005,False,False
74707,uncertain,0.357,Mystery House,1938,False,False
75506,uncertain,0.363,World Without End,1956,False,False
77067,zombie,0.802,DeadHeads,2011,False,True
80342,snake,0.679,Lady Dragon 2,1993,True,True
81829,werewolf,0.673,Bulldog Drummond,1929,False,True
84770,uncertain,0.247,The Large Rope,1953,False,False
93394,none,0.619,Elevator,2013,False,False
94716,uncertain,0.48,A Cottage on Dartmoor,1929,False,False
136686,uncertain,0.211,Doraemon: Nobita and the Green Giant Legend,2008,False,False
138999,uncertain,0.272,Little Corey Gorey,1993,False,False
140418,uncertain,0.402,Bulldog Drummond at Bay,1937,False,False
160399,shark,0.596,Megazone 23 III - Part 1 - The Awakening of Eve,1989,True,True
173095,uncertain,0.31,The Brides Wore Blood,1972,False,False
201989,uncertain,0.244,Bottles,1936,False,False
213215,uncertain,0.233,The Returning,1983,False,False
214905,uncertain,0.457,Below the Deadline,1936,False,False
224473,uncertain,0.321,The Sweet Sound of Death,1965,False,False
249294,uncertain,0.253,Celia: The Sinister Affair of Poor Aunt Nora,1949,False,False
267338,uncertain,0.441,"Love, Honor and Oh-Baby!",1940,False,False
