id,title,year,brightness,dark_share,saturation,red_share,palette,palette_share,band_red,band_warm,band_green,band_blue,band_purple,band_dark
2969,A Daughter Of Destiny,1928,30.605,0.45175,0.54775,0.0797,"[""#04020f"", ""#16193a"", ""#485169"", ""#951010"", ""#cdc2cb""]","[0.363, 0.258, 0.184, 0.114, 0.082]",0.08695,0.0,0.0,0.2405,0.07455,0.59795
14594,The Thin Man Goes Home,1944,75.41,0.0294,0.3056,0.0311,"[""#e9e6e1"", ""#0c6fbb"", ""#398ea9"", ""#ab6a4d"", ""#2c2324""]","[0.342, 0.338, 0.132, 0.122, 0.066]",0.0522,0.0989,0.011,0.2478,0.0005,0.5896
19131,Scotland Yard Hunts Dr. Mabuse,1963,20.56,0.6182,0.4107,0.3177,"[""#110c0e"", ""#bc4c34"", ""#892e29"", ""#4b211d"", ""#b7b062""]","[0.398, 0.208, 0.166, 0.146, 0.082]",0.2745,0.1435,0.0,0.0,0.0003,0.5817
19169,Nightmare Alley,1947,18.98,0.6309,0.4778,0.2196,"[""#110c0b"", ""#603929"", ""#bd4e36"", ""#c5893d"", ""#3a494e""]","[0.544, 0.177, 0.127, 0.108, 0.044]",0.1876,0.1802,0.0002,0.0428,0.0,0.5893
19971,The Little Girl Who Lives Down the Lane,1976,46.61,0.382,0.3035,0.0,"[""#82d6fc"", ""#040506"", ""#6da0b6"", ""#445f6b"", ""#bbd4dd""]","[0.552, 0.264, 0.092, 0.059, 0.032]",0.0,0.0,0.0,0.5602,0.0,0.4398
20043,Royal Space Force - The Wings of Honneamise,1987,70.28,0.0009,0.1531,0.022,"[""#645751"", ""#f1efeb"", ""#c0a67e"", ""#aea49d"", ""#9a4a37""]","[0.284, 0.245, 0.212, 0.202, 0.058]",0.0356,0.3278,0.0,0.0305,0.0183,0.5878
24008,Monkey Business,1952,60.87,0.1005,0.3118,0.0637,"[""#b28a52"", ""#423223"", ""#dcd5c2"", ""#bc92b5"", ""#ad5163""]","[0.312, 0.228, 0.207, 0.16, 0.092]",0.0773,0.344,0.0248,0.0,0.1824,0.3715
25004,Black Ice,2007,67.25,0.1259,0.2155,0.0,"[""#d7e6eb"", ""#9ab4bb"", ""#16414f"", ""#567f88"", ""#08131b""]","[0.324, 0.22, 0.187, 0.135, 0.134]",0.0,0.0,0.0007,0.3181,0.0,0.6812
27509,The Penalty,1920,31.43,0.5018,0.4788,0.034,"[""#130d0c"", ""#095c93"", ""#d6b89e"", ""#a2613a"", ""#d5cf6a""]","[0.452, 0.273, 0.128, 0.089, 0.058]",0.0737,0.2065,0.0187,0.1732,0.0,0.5279
28910,Mark of the Vampire,1935,25.925,0.5807,0.424,0.04285,"[""#0b090f"", ""#72433c"", ""#244a6b"", ""#daa86b"", ""#c9c9c5""]","[0.585, 0.141, 0.12, 0.098, 0.056]",0.049,0.16795,0.00115,0.0893,0.0461,0.64645
29297,Destination Inner Space,1966,72.42,0.0051,0.2078,0.005,"[""#daded6"", ""#6f75a0"", ""#b1be80"", ""#533396"", ""#787159""]","[0.354, 0.225, 0.151, 0.142, 0.127]",0.0158,0.0791,0.1358,0.1973,0.0556,0.5164
31948,Gray Lady Down,1978,39.52,0.3083,0.3846,0.0004,"[""#121921"", ""#2b4b57"", ""#4b8796"", ""#acbcb6"", ""#b18b66""]","[0.333, 0.272, 0.236, 0.12, 0.04]",0.0004,0.0618,0.0048,0.4993,0.0001,0.4334
32849,Abandoned,1949,57.04,0.2277,0.3175,0.0484,"[""#e8df31"", ""#1b1815"", ""#7c7a68"", ""#e6e3d5"", ""#923218""]","[0.388, 0.214, 0.155, 0.146, 0.096]",0.0433,0.3605,0.0239,0.0236,0.0,0.5488
33546,The Time of Their Lives,1946,42.36,0.0927,0.3887,0.0124,"[""#3e7cb3"", ""#2f3d56"", ""#43333a"", ""#927161"", ""#e9c2a4""]","[0.29, 0.288, 0.182, 0.13, 0.109]",0.0803,0.19,0.0,0.4655,0.0904,0.1738
34734,Stir of Echoes: The Homecoming,2007,41.33,0.38645,0.4689,0.10725,"[""#31211a"", ""#714025"", ""#e3c14d"", ""#b5782e"", ""#e6e7da""]","[0.418, 0.21, 0.157, 0.149, 0.065]",0.06535,0.55145,0.00115,0.0,0.0,0.38205
36778,Spellbinder,1988,8.19,0.8721,0.3446,0.0174,"[""#030207"", ""#1a1329"", ""#5b3340"", ""#b77f80"", ""#f3c8a2""]","[0.754, 0.116, 0.075, 0.032, 0.024]",0.0491,0.0228,0.0,0.0066,0.0448,0.8767
38456,Charlie Chan's Murder Cruise,1940,46.45,0.3272,0.3385,0.0085,"[""#1a1512"", ""#dcd5aa"", ""#eb711a"", ""#73857b"", ""#794a1f""]","[0.375, 0.214, 0.166, 0.159, 0.085]",0.0082,0.2752,0.0771,0.0815,0.0043,0.5538
40091,Sex Madness,1938,30.03,0.5953,0.209,0.0716,"[""#0b0809"", ""#da190a"", ""#7b4f3c"", ""#e6e471"", ""#e0dfdd""]","[0.525, 0.129, 0.125, 0.121, 0.1]",0.0741,0.118,0.0,0.007,0.0006,0.8003
40252,Witchboard III: The Possession,1997,20.03,0.6138,0.3907,0.3465,"[""#110e0f"", ""#d4392f"", ""#8d3231"", ""#4c282a"", ""#eb9047""]","[0.374, 0.195, 0.194, 0.146, 0.092]",0.3186,0.0726,0.0001,0.0203,0.0006,0.5879
44169,The Falcon in Danger,1943,27.54,0.395,0.7226,0.0218,"[""#0b070c"", ""#1f4b42"", ""#876230"", ""#dfcc40"", ""#e88021""]","[0.428, 0.307, 0.112, 0.085, 0.068]",0.0189,0.2506,0.2368,0.1272,0.0072,0.3592
47062,Miraculous Virgin,1967,40.38,0.01,0.0441,0.0008,"[""#474545"", ""#8e8d8f"", ""#a97d38"", ""#ded5d3"", ""#14092e""]","[0.621, 0.25, 0.051, 0.05, 0.028]",0.0038,0.0229,0.0,0.0009,0.0006,0.9717
47286,Cool Air,1999,41.81,0.2659,0.398,0.0009,"[""#1c2537"", ""#27526c"", ""#6c92a1"", ""#cfc8b3"", ""#635b48""]","[0.337, 0.33, 0.148, 0.124, 0.06]",0.0037,0.1715,0.0136,0.5218,0.0006,0.2888
51565,The Dragon Murder Case,1934,48.55,0.2566,0.5356,0.3448,"[""#fb4a26"", ""#140e16"", ""#d69270"", ""#753729"", ""#f1cbe4""]","[0.327, 0.265, 0.159, 0.146, 0.104]",0.3951,0.1393,0.0173,0.01,0.0949,0.3434
52204,The Brain Eaters,1958,39.07,0.2494,0.6226,0.1972,"[""#614123"", ""#2c0f0a"", ""#caa479"", ""#bc5629"", ""#f0ed37""]","[0.411, 0.3, 0.119, 0.109, 0.061]",0.13885,0.58955,5e-05,0.0,0.00095,0.2706
54539,The Inhuman Woman,1924,41.72,0.3947,0.274,0.0732,"[""#0c0909"", ""#ddc6a8"", ""#9a8c76"", ""#df2924"", ""#a13b2f""]","[0.394, 0.27, 0.198, 0.078, 0.059]",0.0703,0.493,0.0001,0.0,0.0,0.4366
56429,Up from the Depths,1979,27.67,0.4408,0.6176,0.089,"[""#0f1b22"", ""#155347"", ""#c82217"", ""#7c5e4d"", ""#e8e8e6""]","[0.473, 0.345, 0.116, 0.047, 0.019]",0.0909,0.039,0.184,0.1963,0.0003,0.4895
58421,Ignition,2002,45.03,0.3009,0.5951,0.1696,"[""#eca63c"", ""#1b1316"", ""#cc4009"", ""#692610"", ""#daceba""]","[0.273, 0.268, 0.224, 0.156, 0.079]",0.1407,0.4416,0.0017,0.0265,0.0072,0.3822
