id,title,year,creature_n,creature_top_label,creature_top_score,creature_boxes,weapon_n,weapon_top_label,weapon_top_score,weapon_boxes,creature_label_agree,weapon_label_agree
2969,A Daughter Of Destiny,1928,0,,,[],0,,,[],0,0
14594,The Thin Man Goes Home,1944,0,,,[],0,,,[],1,0
19131,Scotland Yard Hunts Dr. Mabuse,1963,0,,,[],0,,,[],0,0
19169,Nightmare Alley,1947,0,,,[],0,,,[],0,0
19971,The Little Girl Who Lives Down the Lane,1976,0,,,[],0,,,[],0,0
20043,Royal Space Force - The Wings of Honneamise,1987,0,,,[],0,,,[],0,0
24008,Monkey Business,1952,0,,,[],0,,,[],0,0
25004,Black Ice,2007,0,,,[],0,,,[],0,0
27509,The Penalty,1920,1,vampire,0.365,"[{""label"": ""vampire"", ""iou"": 0.9325, ""owlv2_score"": 0.446, ""dino_score"": 0.365, ""owlv2_box"": [0.016, 0.0629, 0.5252, 0.6064], ""dino_box"": [0.0223, 0.0651, 0.5102, 0.5821]}]",0,,,[],0,0
28910,Mark of the Vampire,1935,0,,,[],0,,,[],0,0
29297,Destination Inner Space,1966,1,giant_monster,0.438,"[{""label"": ""giant_monster"", ""iou"": 0.9249, ""owlv2_score"": 0.58, ""dino_score"": 0.438, ""owlv2_box"": [0.0118, 0.0559, 0.5846, 0.5125], ""dino_box"": [0.0041, 0.0361, 0.5909, 0.5457]}]",0,,,[],1,0
31948,Gray Lady Down,1978,0,,,[],0,,,[],0,0
32849,Abandoned,1949,0,,,[],0,,,[],0,0
33546,The Time of Their Lives,1946,0,,,[],0,,,[],0,0
34734,Stir of Echoes: The Homecoming,2007,0,,,[],0,,,[],0,0
36778,Spellbinder,1988,0,,,[],0,,,[],0,0
38456,Charlie Chan's Murder Cruise,1940,0,,,[],0,,,[],0,0
40091,Sex Madness,1938,0,,,[],0,,,[],0,0
40252,Witchboard III: The Possession,1997,0,,,[],0,,,[],0,0
44169,The Falcon in Danger,1943,0,,,[],0,,,[],0,0
47062,Miraculous Virgin,1967,1,bird,0.388,"[{""label"": ""bird"", ""iou"": 0.9426, ""owlv2_score"": 0.608, ""dino_score"": 0.388, ""owlv2_box"": [0.6954, 0.3998, 0.2457, 0.337], ""dino_box"": [0.6945, 0.3969, 0.2549, 0.3351]}]",0,,,[],0,0
47286,Cool Air,1999,0,,,[],0,,,[],0,0
51565,The Dragon Murder Case,1934,0,,,[],0,,,[],0,0
52204,The Brain Eaters,1958,0,,,[],0,,,[],0,0
54539,The Inhuman Woman,1924,0,,,[],0,,,[],0,0
56429,Up from the Depths,1979,0,,,[],0,,,[],0,0
58421,Ignition,2002,0,,,[],0,,,[],0,0
60523,Chicago Calling,1951,0,,,[],0,,,[],0,0
64568,Taste of Fear,1961,0,,,[],0,,,[],0,0
67430,Zoo zéro,1979,0,,,[],0,,,[],0,0
69351,Beauty and the Beast,2005,0,,,[],0,,,[],0,0
74707,Mystery House,1938,0,,,[],0,,,[],0,0
75506,World Without End,1956,0,,,[],0,,,[],0,0
77067,DeadHeads,2011,0,,,[],3,gun,0.362,"[{""label"": ""gun"", ""iou"": 0.936, ""owlv2_score"": 0.495, ""dino_score"": 0.362, ""owlv2_box"": [0.8035, 0.117, 0.1826, 0.201], ""dino_box"": [0.7914, 0.1171, 0.195, 0.2009]}, {""label"": ""gun"", ""iou"": 0.8743, ""owlv2_score"": 0.507, ""dino_score"": 0.325, ""owlv2_box"": [0.1086, 0.3998, 0.2655, 0.1718], ""dino_box"": [0.0946, 0.3975, 0.2675, 0.1785]}, {""label"": ""gun"", ""iou"": 0.914, ""owlv2_score"": 0.399, ""dino_score"": 0.32, ""owlv2_box"": [0.3288, 0.3229, 0.3636, 0.2513], ""dino_box"": [0.342, 0.3265, 0.3403, 0.2502]}]",0,1
