id,title,year,creature_n,creature_top_label,creature_top_score,creature_boxes,weapon_n,weapon_top_label,weapon_top_score,weapon_boxes,error
2969,A Daughter Of Destiny,1928,1,vampire,0.258,"[{""label"": ""vampire"", ""score"": 0.258, ""box"": [0.0345, 0.0086, 0.9598, 0.9789]}]",0,,,[],
14594,The Thin Man Goes Home,1944,1,vampire,0.213,"[{""label"": ""vampire"", ""score"": 0.213, ""box"": [0.049, 0.3248, 0.3463, 0.5362]}]",0,,,[],
19131,Scotland Yard Hunts Dr. Mabuse,1963,3,zombie,0.294,"[{""label"": ""zombie"", ""score"": 0.294, ""box"": [0.4422, 0.2098, 0.468, 0.5237]}, {""label"": ""vampire"", ""score"": 0.292, ""box"": [0.7158, 0.4899, 0.2763, 0.2758]}, {""label"": ""zombie"", ""score"": 0.279, ""box"": [0.4677, 0.2114, 0.3563, 0.3485]}]",2,sword,0.216,"[{""label"": ""sword"", ""score"": 0.216, ""box"": [0.3175, 0.6508, 0.0788, 0.032]}, {""label"": ""sword"", ""score"": 0.204, ""box"": [0.9045, 0.6283, 0.0659, 0.0913]}]",
19169,Nightmare Alley,1947,3,vampire,0.506,"[{""label"": ""vampire"", ""score"": 0.506, ""box"": [0.1801, 0.1923, 0.6258, 0.7858]}, {""label"": ""masked_killer"", ""score"": 0.383, ""box"": [0.4101, 0.7682, 0.1525, 0.2156]}, {""label"": ""vampire"", ""score"": 0.255, ""box"": [0.0097, 0.0186, 0.9788, 0.9568]}]",0,,,[],
19971,The Little Girl Who Lives Down the Lane,1976,3,ghost,0.313,"[{""label"": ""ghost"", ""score"": 0.313, ""box"": [0.2735, 0.5271, 0.2467, 0.1127]}, {""label"": ""witch"", ""score"": 0.263, ""box"": [0.4678, 0.0997, 0.2074, 0.5293]}, {""label"": ""ghost"", ""score"": 0.217, ""box"": [0.4116, 0.5823, 0.0457, 0.0486]}]",2,axe,0.289,"[{""label"": ""axe"", ""score"": 0.289, ""box"": [0.699, 0.3015, 0.1435, 0.3093]}, {""label"": ""axe"", ""score"": 0.252, ""box"": [0.6511, 0.2964, 0.1908, 0.3235]}]",
20043,Royal Space Force - The Wings of Honneamise,1987,3,vampire,0.405,"[{""label"": ""vampire"", ""score"": 0.405, ""box"": [0.1217, 0.5233, 0.8103, 0.4312]}, {""label"": ""zombie"", ""score"": 0.39, ""box"": [0.2702, 0.3676, 0.222, 0.1655]}, {""label"": ""zombie"", ""score"": 0.38, ""box"": [0.6373, 0.4965, 0.1486, 0.2517]}]",1,rifle,0.291,"[{""label"": ""rifle"", ""score"": 0.291, ""box"": [0.3069, 0.288, 0.1287, 0.0472]}]",
24008,Monkey Business,1952,3,zombie,0.244,"[{""label"": ""zombie"", ""score"": 0.244, ""box"": [0.0026, 0.3064, 0.4568, 0.6903]}, {""label"": ""zombie"", ""score"": 0.22, ""box"": [0.3293, 0.4016, 0.4776, 0.5938]}, {""label"": ""vampire"", ""score"": 0.209, ""box"": [0.5959, 0.3578, 0.4011, 0.6471]}]",0,,,[],
25004,Black Ice,2007,0,,,[],0,,,[],
27509,The Penalty,1920,3,vampire,0.446,"[{""label"": ""vampire"", ""score"": 0.446, ""box"": [0.016, 0.0629, 0.5252, 0.6064]}, {""label"": ""vampire"", ""score"": 0.376, ""box"": [0.4785, 0.1815, 0.5091, 0.4954]}, {""label"": ""zombie"", ""score"": 0.327, ""box"": [0.6719, 0.0048, 0.3228, 0.5318]}]",0,,,[],
28910,Mark of the Vampire,1935,3,vampire,0.519,"[{""label"": ""vampire"", ""score"": 0.519, ""box"": [0.0883, 0.0922, 0.6575, 0.3714]}, {""label"": ""vampire"", ""score"": 0.385, ""box"": [0.5295, 0.3351, 0.2115, 0.1364]}, {""label"": ""vampire"", ""score"": 0.34, ""box"": [0.3918, 0.7752, 0.3416, 0.2209]}]",0,,,[],
