id,title,year,mean_depth,p95_depth,depth_std,close_area_frac,error
2969,A Daughter Of Destiny,1928,0.5814,0.9551,0.2548,0.2832,
14594,The Thin Man Goes Home,1944,0.6836,0.8502,0.2113,0.6739,
19131,Scotland Yard Hunts Dr. Mabuse,1963,0.4359,0.8893,0.3293,0.3053,
19169,Nightmare Alley,1947,0.3998,0.8708,0.2366,0.1328,
19971,The Little Girl Who Lives Down the Lane,1976,0.4736,0.9341,0.387,0.458,
20043,Royal Space Force - The Wings of Honneamise,1987,0.3502,0.8435,0.2693,0.1843,
24008,Monkey Business,1952,0.4834,0.9009,0.3487,0.4883,
25004,Black Ice,2007,0.5717,0.9512,0.302,0.4012,
27509,The Penalty,1920,0.6492,0.9615,0.3188,0.6332,
28910,Mark of the Vampire,1935,0.2405,0.8606,0.2639,0.1232,
29297,Destination Inner Space,1966,0.3986,0.8947,0.2853,0.21,
31948,Gray Lady Down,1978,0.5197,0.9251,0.3718,0.4667,
32849,Abandoned,1949,0.3187,0.7053,0.1523,0.0512,
33546,The Time of Their Lives,1946,0.4913,0.9586,0.3959,0.5136,
34734,Stir of Echoes: The Homecoming,2007,0.6931,0.8877,0.1653,0.534,
36778,Spellbinder,1988,0.4291,0.8105,0.1933,0.1253,
38456,Charlie Chan's Murder Cruise,1940,0.596,0.8877,0.2349,0.4404,
40091,Sex Madness,1938,0.604,0.916,0.2555,0.4809,
40252,Witchboard III: The Possession,1997,0.5311,0.8204,0.2528,0.2655,
44169,The Falcon in Danger,1943,0.3306,0.6786,0.1923,0.0437,
47062,Miraculous Virgin,1967,0.3052,0.8255,0.2076,0.0789,
47286,Cool Air,1999,0.4641,0.7221,0.1477,0.0669,
51565,The Dragon Murder Case,1934,0.5336,0.8005,0.1717,0.1649,
52204,The Brain Eaters,1958,0.4407,0.8349,0.2323,0.2142,
54539,The Inhuman Woman,1924,0.4449,0.8388,0.2528,0.2194,
56429,Up from the Depths,1979,0.5339,0.9741,0.3909,0.4806,
58421,Ignition,2002,0.5838,0.7818,0.1955,0.3237,
60523,Chicago Calling,1951,0.6728,0.8723,0.2168,0.6344,
64568,Taste of Fear,1961,0.4691,0.9052,0.2492,0.2236,
67430,Zoo zéro,1979,0.286,0.8275,0.3009,0.1915,
69351,Beauty and the Beast,2005,0.5318,0.8597,0.2253,0.3054,
74707,Mystery House,1938,0.7653,0.8955,0.2024,0.8685,
75506,World Without End,1956,0.7528,0.9611,0.2788,0.7498,
77067,DeadHeads,2011,0.5769,0.8634,0.2558,0.4405,
80342,Lady Dragon 2,1993,0.4237,0.9395,0.2791,0.1966,
81829,Bulldog Drummond,1929,0.4661,0.9124,0.2898,0.1952,
84770,The Large Rope,1953,0.598,0.9276,0.323,0.5516,
93394,Elevator,2013,0.6683,0.9836,0.2676,0.4751,
94716,A Cottage on Dartmoor,1929,0.3681,0.8475,0.2317,0.1457,
136686,Doraemon: Nobita and the Green Giant Legend,2008,0.6005,0.9365,0.3248,0.5224,
138999,Little Corey Gorey,1993,0.3888,0.8622,0.349,0.3305,
140418,Bulldog Drummond at Bay,1937,0.4793,0.7738,0.2414,0.133,
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,0.7636,0.9783,0.187,0.7024,
173095,The Brides Wore Blood,1972,0.6104,0.9507,0.3282,0.5701,
201989,Bottles,1936,0.4543,0.9571,0.3464,0.3366,
213215,The Returning,1983,0.2738,0.7629,0.2369,0.084,
214905,Below the Deadline,1936,0.4378,0.7548,0.2101,0.0867,
224473,The Sweet Sound of Death,1965,0.4968,0.9365,0.2708,0.2856,
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,0.5534,0.925,0.2866,0.3181,
