id,title,year,n_faces,face_area,max_conf,face_boxes,error
2969,A Daughter Of Destiny,1928,1,0.0597,0.898,"0.1921,0.0822,0.2664,0.2241",
14594,The Thin Man Goes Home,1944,3,0.1339,0.912,"0.147,0.0845,0.2384,0.2066|0.1208,0.3917,0.2412,0.1835|0.1563,0.7151,0.1943,0.2078",
19131,Scotland Yard Hunts Dr. Mabuse,1963,2,0.1094,0.916,"0.5065,0.2539,0.2881,0.262|0.3257,0.367,0.1943,0.1748",
19169,Nightmare Alley,1947,0,0.0,0.0,,
19971,The Little Girl Who Lives Down the Lane,1976,0,0.0,0.0,,
20043,Royal Space Force - The Wings of Honneamise,1987,2,0.0312,0.902,"0.4049,0.5642,0.1849,0.1583|0.7411,0.6167,0.0469,0.0415",
24008,Monkey Business,1952,2,0.0731,0.938,"0.2006,0.3606,0.2037,0.1804|0.6213,0.4048,0.2049,0.1776",
25004,Black Ice,2007,3,0.2725,0.913,"0.6651,0.2151,0.2936,0.3625|0.0172,0.2146,0.2873,0.3244|0.3637,0.2305,0.2648,0.2751",
27509,The Penalty,1920,2,0.0242,0.906,"0.5276,0.2322,0.132,0.1047|0.3634,0.1258,0.1134,0.0917",
28910,Mark of the Vampire,1935,4,0.1179,0.91,"0.2463,0.4648,0.2491,0.2142|0.3797,0.1743,0.1988,0.1687|0.6744,0.7931,0.1391,0.1244|0.494,0.8004,0.1257,0.1085",
29297,Destination Inner Space,1966,0,0.0,0.0,,
31948,Gray Lady Down,1978,0,0.0,0.0,,
32849,Abandoned,1949,1,0.013,0.889,"0.6638,0.0481,0.1269,0.1028",
33546,The Time of Their Lives,1946,2,0.0596,0.921,"0.5887,0.3757,0.1887,0.1593|0.239,0.3998,0.1785,0.1656",
34734,Stir of Echoes: The Homecoming,2007,0,0.0,0.0,,
36778,Spellbinder,1988,1,0.1418,0.924,"0.2916,0.0847,0.3852,0.368",
38456,Charlie Chan's Murder Cruise,1940,3,0.2257,0.893,"0.6208,0.0809,0.3723,0.4611|0.1725,0.8344,0.1898,0.1644|0.0204,0.7419,0.1623,0.1408",
40091,Sex Madness,1938,1,0.0211,0.777,"0.59,0.7184,0.1601,0.1317",
40252,Witchboard III: The Possession,1997,1,0.0985,0.886,"0.378,0.0423,0.2941,0.3349",
44169,The Falcon in Danger,1943,2,0.0601,0.909,"0.7118,0.5536,0.2138,0.1696|0.1432,0.6917,0.1675,0.1424",
47062,Miraculous Virgin,1967,1,0.4902,0.906,"0.1031,0.2018,0.7096,0.6908",
47286,Cool Air,1999,1,0.0122,0.879,"0.1675,0.3709,0.1103,0.1107",
51565,The Dragon Murder Case,1934,2,0.2133,0.918,"0.4148,0.0758,0.3588,0.3566|0.075,0.0004,0.3585,0.2381",
52204,The Brain Eaters,1958,2,0.5363,0.832,"0.0836,0.219,0.6591,0.6698|0.2452,0.0016,0.4446,0.2132",
54539,The Inhuman Woman,1924,0,0.0,0.0,,
56429,Up from the Depths,1979,1,0.0034,0.639,"0.4071,0.1074,0.0632,0.0541",
58421,Ignition,2002,2,0.3517,0.912,"0.0015,0.2001,0.454,0.4306|0.6007,0.3196,0.3898,0.4009",
60523,Chicago Calling,1951,7,0.0452,0.921,"0.5898,0.1576,0.2067,0.1618|0.8488,0.8194,0.0712,0.0561|0.7699,0.8917,0.0627,0.0516|0.5035,0.8948,0.0398,0.0347|0.6744,0.826,0.0395,0.0338|0.5964,0.915,0.0344,0.0303|0.562,0.8282,0.0309,0.0248",
64568,Taste of Fear,1961,1,0.0063,0.711,"0.2413,0.3043,0.0851,0.0744",
67430,Zoo zéro,1979,1,0.0232,0.875,"0.1594,0.7124,0.1639,0.1419",
69351,Beauty and the Beast,2005,3,0.0759,0.933,"0.5874,0.2484,0.1922,0.1957|0.1487,0.1981,0.1783,0.1579|0.1787,0.6021,0.1152,0.0881",
74707,Mystery House,1938,2,0.1891,0.901,"0.5519,0.0447,0.3426,0.3131|0.1524,0.2161,0.3226,0.2536",
75506,World Without End,1956,1,0.0194,0.925,"0.6694,0.1886,0.1483,0.1309",
77067,DeadHeads,2011,1,0.0299,0.858,"0.6772,0.0867,0.1912,0.1564",
80342,Lady Dragon 2,1993,1,0.0116,0.858,"0.3527,0.4206,0.1216,0.0953",
81829,Bulldog Drummond,1929,2,0.0183,0.894,"0.78,0.3479,0.1099,0.1039|0.3602,0.2401,0.0908,0.0761",
84770,The Large Rope,1953,2,0.0397,0.909,"0.2014,0.1845,0.156,0.129|0.6918,0.2615,0.1551,0.126",
93394,Elevator,2013,0,0.0,0.0,,
94716,A Cottage on Dartmoor,1929,0,0.0,0.0,,
136686,Doraemon: Nobita and the Green Giant Legend,2008,4,0.0504,0.846,"0.1079,0.3089,0.2,0.155|0.403,0.5065,0.0972,0.0785|0.2112,0.4884,0.0947,0.0744|0.3279,0.5685,0.0742,0.0632",
138999,Little Corey Gorey,1993,2,0.0245,0.898,"0.4647,0.4209,0.1528,0.1283|0.8005,0.4651,0.0763,0.064",
140418,Bulldog Drummond at Bay,1937,3,0.0508,0.905,"0.8638,0.0354,0.1456,0.1374|0.1402,0.1026,0.1443,0.1273|0.5977,0.1756,0.1178,0.1056",
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,0,0.0,0.0,,
173095,The Brides Wore Blood,1972,1,0.0419,0.852,"0.244,0.0515,0.2471,0.1694",
201989,Bottles,1936,0,0.0,0.0,,
213215,The Returning,1983,0,0.0,0.0,,
214905,Below the Deadline,1936,16,0.0413,0.874,"0.7382,0.1868,0.0854,0.0672|0.5646,0.2519,0.0681,0.0668|0.2696,0.2925,0.0717,0.0607|0.355,0.3301,0.0694,0.0607|0.0926,0.3356,0.0701,0.0591|0.1087,0.78,0.0629,0.0528|0.6538,0.544,0.0573,0.0473|0.7803,0.5675,0.0576,0.047|0.6358,0.9074,0.0503,0.0394|0.178,0.5622,0.0439,0.0378|0.3587,0.7935,0.0443,0.0373|0.2395,0.5667,0.0428,0.0355|0.2958,0.8184,0.0359,0.0328|0.7946,0.7827,0.0264,0.0208|0.8799,0.8512,0.0252,0.0208|0.7058,0.7989,0.0242,0.0202",
224473,The Sweet Sound of Death,1965,2,0.043,0.883,"0.1643,0.6515,0.2014,0.1773|0.6204,0.2181,0.0884,0.0826",
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,1,0.1096,0.932,"0.3225,0.2307,0.3476,0.3154",
267338,"Love, Honor and Oh-Baby!",1940,6,0.1228,0.916,"0.1107,0.2369,0.212,0.1836|0.6905,0.2355,0.2016,0.1641|0.3681,0.2391,0.1896,0.1629|0.3466,0.7939,0.0874,0.0801|0.2221,0.821,0.086,0.0768|0.0767,0.8012,0.0847,0.0744",
280002,The Remaining,2014,3,0.0127,0.883,"0.2528,0.6444,0.0718,0.0622|0.4552,0.5786,0.0707,0.06|0.6933,0.5838,0.0683,0.0592",
294307,The Last Hit,1993,2,0.106,0.915,"0.4533,0.1951,0.2892,0.2823|0.6494,0.487,0.1659,0.1465",
299460,The Mother  Tree,1958,2,0.0076,0.688,"0.5268,0.6586,0.069,0.0568|0.7936,0.6422,0.0661,0.055",
324153,The Shadow Laughs,1933,2,0.0185,0.917,"0.243,0.5889,0.1107,0.0937|0.5965,0.6577,0.0975,0.0836",
324621,The Return,1980,0,0.0,0.0,,
325622,The Hound of the Baskervilles,1921,4,0.0357,0.901,"0.782,0.2483,0.112,0.0996|0.5559,0.1954,0.1068,0.0987|0.0971,0.2155,0.0832,0.0846|0.2882,0.2792,0.0882,0.0794",
