id,face_idx,box,label,score
2969,0,"0.1921,0.0822,0.2664,0.2241",menacing,0.658
14594,0,"0.1470,0.0845,0.2384,0.2066",uncertain,0.278
14594,1,"0.1208,0.3917,0.2412,0.1835",uncertain,0.253
14594,2,"0.1563,0.7151,0.1943,0.2078",shocked,0.386
19131,0,"0.5065,0.2539,0.2881,0.2620",menacing,0.538
19131,1,"0.3257,0.3670,0.1943,0.1748",menacing,0.375
20043,0,"0.4049,0.5642,0.1849,0.1583",uncertain,0.339
20043,1,"0.7411,0.6167,0.0469,0.0415",uncertain,0.341
24008,0,"0.2006,0.3606,0.2037,0.1804",menacing,0.569
24008,1,"0.6213,0.4048,0.2049,0.1776",angry,0.377
25004,0,"0.6651,0.2151,0.2936,0.3625",terrified,0.377
25004,1,"0.0172,0.2146,0.2873,0.3244",uncertain,0.331
25004,2,"0.3637,0.2305,0.2648,0.2751",terrified,0.406
27509,0,"0.5276,0.2322,0.1320,0.1047",shocked,0.474
27509,1,"0.3634,0.1258,0.1134,0.0917",menacing,0.649
28910,0,"0.2463,0.4648,0.2491,0.2142",menacing,0.411
28910,1,"0.3797,0.1743,0.1988,0.1687",menacing,0.851
28910,2,"0.6744,0.7931,0.1391,0.1244",uncertain,0.265
28910,3,"0.4940,0.8004,0.1257,0.1085",terrified,0.376
32849,0,"0.6638,0.0481,0.1269,0.1028",terrified,0.398
33546,0,"0.5887,0.3757,0.1887,0.1593",uncertain,0.315
33546,1,"0.2390,0.3998,0.1785,0.1656",shocked,0.358
36778,0,"0.2916,0.0847,0.3852,0.3680",terrified,0.479
38456,0,"0.6208,0.0809,0.3723,0.4611",terrified,0.397
38456,1,"0.1725,0.8344,0.1898,0.1644",menacing,0.42
38456,2,"0.0204,0.7419,0.1623,0.1408",terrified,0.394
40091,0,"0.5900,0.7184,0.1601,0.1317",menacing,0.501
40252,0,"0.3780,0.0423,0.2941,0.3349",menacing,0.902
44169,0,"0.7118,0.5536,0.2138,0.1696",shocked,0.354
44169,1,"0.1432,0.6917,0.1675,0.1424",uncertain,0.209
47062,0,"0.1031,0.2018,0.7096,0.6908",terrified,0.378
47286,0,"0.1675,0.3709,0.1103,0.1107",calm,0.379
51565,0,"0.4148,0.0758,0.3588,0.3566",menacing,0.687
51565,1,"0.0750,0.0004,0.3585,0.2381",uncertain,0.333
52204,0,"0.0836,0.2190,0.6591,0.6698",screaming,0.709
52204,1,"0.2452,0.0016,0.4446,0.2132",uncertain,0.224
56429,0,"0.4071,0.1074,0.0632,0.0541",screaming,0.571
58421,0,"0.0015,0.2001,0.4540,0.4306",uncertain,0.277
58421,1,"0.6007,0.3196,0.3898,0.4009",terrified,0.455
60523,0,"0.5898,0.1576,0.2067,0.1618",uncertain,0.35
60523,1,"0.8488,0.8194,0.0712,0.0561",terrified,0.37
60523,2,"0.7699,0.8917,0.0627,0.0516",uncertain,0.256
60523,3,"0.5035,0.8948,0.0398,0.0347",uncertain,0.216
60523,4,"0.6744,0.8260,0.0395,0.0338",uncertain,0.259
60523,5,"0.5964,0.9150,0.0344,0.0303",uncertain,0.261
60523,6,"0.5620,0.8282,0.0309,0.0248",uncertain,0.285
64568,0,"0.2413,0.3043,0.0851,0.0744",terrified,0.39
67430,0,"0.1594,0.7124,0.1639,0.1419",terrified,0.434
69351,0,"0.5874,0.2484,0.1922,0.1957",menacing,0.372
69351,1,"0.1487,0.1981,0.1783,0.1579",menacing,0.351
69351,2,"0.1787,0.6021,0.1152,0.0881",uncertain,0.297
74707,0,"0.5519,0.0447,0.3426,0.3131",menacing,0.595
74707,1,"0.1524,0.2161,0.3226,0.2536",screaming,0.381
75506,0,"0.6694,0.1886,0.1483,0.1309",uncertain,0.309
77067,0,"0.6772,0.0867,0.1912,0.1564",terrified,0.452
80342,0,"0.3527,0.4206,0.1216,0.0953",uncertain,0.332
81829,0,"0.7800,0.3479,0.1099,0.1039",uncertain,0.223
81829,1,"0.3602,0.2401,0.0908,0.0761",uncertain,0.303
84770,0,"0.2014,0.1845,0.1560,0.1290",terrified,0.411
84770,1,"0.6918,0.2615,0.1551,0.1260",menacing,0.389
136686,0,"0.1079,0.3089,0.2000,0.1550",uncertain,0.331
136686,1,"0.4030,0.5065,0.0972,0.0785",uncertain,0.312
136686,2,"0.2112,0.4884,0.0947,0.0744",uncertain,0.33
136686,3,"0.3279,0.5685,0.0742,0.0632",uncertain,0.329
138999,0,"0.4647,0.4209,0.1528,0.1283",uncertain,0.304
138999,1,"0.8005,0.4651,0.0763,0.0640",uncertain,0.245
140418,0,"0.8638,0.0354,0.1456,0.1374",uncertain,0.219
140418,1,"0.1402,0.1026,0.1443,0.1273",uncertain,0.269
140418,2,"0.5977,0.1756,0.1178,0.1056",uncertain,0.255
173095,0,"0.2440,0.0515,0.2471,0.1694",screaming,0.434
214905,0,"0.7382,0.1868,0.0854,0.0672",uncertain,0.336
214905,1,"0.5646,0.2519,0.0681,0.0668",uncertain,0.342
214905,2,"0.2696,0.2925,0.0717,0.0607",menacing,0.537
214905,3,"0.3550,0.3301,0.0694,0.0607",uncertain,0.245
214905,4,"0.0926,0.3356,0.0701,0.0591",uncertain,0.282
214905,5,"0.1087,0.7800,0.0629,0.0528",menacing,0.352
214905,6,"0.6538,0.5440,0.0573,0.0473",menacing,0.496
214905,7,"0.7803,0.5675,0.0576,0.0470",uncertain,0.291
214905,8,"0.6358,0.9074,0.0503,0.0394",screaming,0.359
214905,9,"0.1780,0.5622,0.0439,0.0378",uncertain,0.262
214905,10,"0.3587,0.7935,0.0443,0.0373",uncertain,0.228
214905,11,"0.2395,0.5667,0.0428,0.0355",uncertain,0.279
214905,12,"0.2958,0.8184,0.0359,0.0328",uncertain,0.245
214905,13,"0.7946,0.7827,0.0264,0.0208",uncertain,0.248
214905,14,"0.8799,0.8512,0.0252,0.0208",uncertain,0.206
214905,15,"0.7058,0.7989,0.0242,0.0202",uncertain,0.241
224473,0,"0.1643,0.6515,0.2014,0.1773",uncertain,0.276
224473,1,"0.6204,0.2181,0.0884,0.0826",terrified,0.4
249294,0,"0.3225,0.2307,0.3476,0.3154",shocked,0.397
267338,0,"0.1107,0.2369,0.2120,0.1836",uncertain,0.316
267338,1,"0.6905,0.2355,0.2016,0.1641",uncertain,0.348
267338,2,"0.3681,0.2391,0.1896,0.1629",shocked,0.362
267338,3,"0.3466,0.7939,0.0874,0.0801",menacing,0.407
267338,4,"0.2221,0.8210,0.0860,0.0768",uncertain,0.286
267338,5,"0.0767,0.8012,0.0847,0.0744",uncertain,0.263
280002,0,"0.2528,0.6444,0.0718,0.0622",terrified,0.477
280002,1,"0.4552,0.5786,0.0707,0.0600",terrified,0.615
280002,2,"0.6933,0.5838,0.0683,0.0592",uncertain,0.241
294307,0,"0.4533,0.1951,0.2892,0.2823",terrified,0.367
294307,1,"0.6494,0.4870,0.1659,0.1465",uncertain,0.333
299460,0,"0.5268,0.6586,0.0690,0.0568",terrified,0.354
299460,1,"0.7936,0.6422,0.0661,0.0550",terrified,0.357
324153,0,"0.2430,0.5889,0.1107,0.0937",uncertain,0.34
324153,1,"0.5965,0.6577,0.0975,0.0836",uncertain,0.295
325622,0,"0.7820,0.2483,0.1120,0.0996",uncertain,0.327
325622,1,"0.5559,0.1954,0.1068,0.0987",uncertain,0.218
325622,2,"0.0971,0.2155,0.0832,0.0846",uncertain,0.23
325622,3,"0.2882,0.2792,0.0882,0.0794",terrified,0.417
340758,0,"0.6063,0.1634,0.1114,0.1024",uncertain,0.212
340758,1,"0.3981,0.0873,0.1010,0.0906",uncertain,0.218
340758,2,"0.8366,0.2451,0.0895,0.0894",uncertain,0.21
340758,3,"0.2610,0.0825,0.0824,0.0786",menacing,0.464
340758,4,"0.8844,0.4673,0.0733,0.0726",uncertain,0.25
361975,0,"0.4045,0.3844,0.1806,0.1611",uncertain,0.299
440871,0,"0.5392,0.3149,0.1138,0.1035",menacing,0.5
440871,1,"0.8104,0.3453,0.1067,0.1013",uncertain,0.249
440871,2,"0.4175,0.3094,0.0664,0.0553",uncertain,0.282
444713,0,"0.4512,0.2339,0.0959,0.0827",menacing,0.356
453424,0,"0.3845,0.8342,0.2165,0.1622",uncertain,0.286
453424,1,"0.6947,0.8719,0.1348,0.1225",uncertain,0.296
459420,0,"0.8890,0.5297,0.0436,0.0379",uncertain,0.286
459420,1,"0.5017,0.4567,0.0446,0.0363",uncertain,0.256
482337,0,"0.4712,0.0955,0.4507,0.3541",uncertain,0.294
482337,1,"0.7472,0.5638,0.1234,0.1195",uncertain,0.293
482337,2,"0.8619,0.5512,0.1279,0.1087",screaming,0.499
482337,3,"0.6422,0.5580,0.1142,0.1088",uncertain,0.285
482337,4,"0.5392,0.5555,0.1157,0.1073",uncertain,0.298
482337,5,"0.1039,0.1722,0.1110,0.0963",uncertain,0.287
483586,0,"0.7182,0.1862,0.1216,0.0895",terrified,0.387
483586,1,"0.2882,0.2370,0.0907,0.0771",uncertain,0.302
510733,0,"0.2506,0.6002,0.1163,0.1031",shocked,0.379
510733,1,"0.7574,0.6551,0.1097,0.0909",uncertain,0.333
510733,2,"0.4402,0.5911,0.0913,0.0898",uncertain,0.283
535249,0,"0.3799,0.0448,0.1942,0.1647",uncertain,0.291
535249,1,"0.5696,0.2359,0.1720,0.1528",terrified,0.373
539980,0,"0.1334,0.5160,0.2980,0.2505",menacing,0.362
539980,1,"0.5426,0.4098,0.2851,0.2543",uncertain,0.27
548084,0,"0.1388,0.0614,0.8554,0.8570",terrified,0.711
630737,0,"0.3691,0.1335,0.2743,0.2481",menacing,0.521
633786,0,"0.3965,0.5028,0.2969,0.3015",terrified,0.652
668985,0,"0.8094,0.1170,0.0804,0.0650",terrified,0.373
752851,0,"0.6218,0.3762,0.2411,0.2111",menacing,0.578
752851,1,"0.3341,0.8171,0.1180,0.0994",calm,0.407
752851,2,"0.0720,0.8277,0.1173,0.0942",uncertain,0.253
789473,0,"0.4067,0.7208,0.0983,0.0817",menacing,0.471
795813,0,"0.5700,0.4803,0.2082,0.1718",uncertain,0.333
872243,0,"0.4397,0.6009,0.1283,0.1033",terrified,0.36
921652,0,"0.3259,0.1497,0.3218,0.3112",uncertain,0.32
929912,0,"0.3243,0.0703,0.3498,0.3203",uncertain,0.317
