id,axis,title,year
2969,0.021006,A Daughter Of Destiny,1928
14594,-0.027959,The Thin Man Goes Home,1944
19131,0.00806,Scotland Yard Hunts Dr. Mabuse,1963
19169,0.016547,Nightmare Alley,1947
19971,0.004419,The Little Girl Who Lives Down the Lane,1976
20043,-0.014642,Royal Space Force - The Wings of Honneamise,1987
24008,-0.017504,Monkey Business,1952
25004,-0.005756,Black Ice,2007
27509,-0.016259,The Penalty,1920
28910,0.035126,Mark of the Vampire,1935
29297,-0.014858,Destination Inner Space,1966
31948,0.009488,Gray Lady Down,1978
32849,-0.000291,Abandoned,1949
33546,-0.027189,The Time of Their Lives,1946
34734,0.006411,Stir of Echoes: The Homecoming,2007
36778,0.021446,Spellbinder,1988
38456,0.005955,Charlie Chan's Murder Cruise,1940
40091,0.01445,Sex Madness,1938
40252,0.021086,Witchboard III: The Possession,1997
44169,-0.014026,The Falcon in Danger,1943
47062,0.0119,Miraculous Virgin,1967
47286,-0.000382,Cool Air,1999
51565,0.00297,The Dragon Murder Case,1934
52204,0.020644,The Brain Eaters,1958
54539,0.004701,The Inhuman Woman,1924
56429,0.00769,Up from the Depths,1979
58421,0.00447,Ignition,2002
60523,-0.004224,Chicago Calling,1951
64568,0.024237,Taste of Fear,1961
67430,0.005236,Zoo zéro,1979
69351,-0.006599,Beauty and the Beast,2005
74707,0.019204,Mystery House,1938
75506,-0.004791,World Without End,1956
77067,-0.015579,DeadHeads,2011
80342,-0.003745,Lady Dragon 2,1993
81829,0.003856,Bulldog Drummond,1929
84770,0.004747,The Large Rope,1953
93394,0.001757,Elevator,2013
94716,0.000804,A Cottage on Dartmoor,1929
136686,-0.02254,Doraemon: Nobita and the Green Giant Legend,2008
138999,0.00994,Little Corey Gorey,1993
140418,-0.007621,Bulldog Drummond at Bay,1937
160399,-0.030697,Megazone 23 III - Part 1 - The Awakening of Eve,1989
173095,0.031499,The Brides Wore Blood,1972
201989,-0.006021,Bottles,1936
213215,-0.000926,The Returning,1983
214905,-0.016999,Below the Deadline,1936
224473,-0.009374,The Sweet Sound of Death,1965
249294,-0.009504,Celia: The Sinister Affair of Poor Aunt Nora,1949
267338,-0.01582,"Love, Honor and Oh-Baby!",1940
280002,0.004231,The Remaining,2014
294307,0.004731,The Last Hit,1993
299460,0.004976,The Mother  Tree,1958
324153,0.008154,The Shadow Laughs,1933
324621,-0.003336,The Return,1980
325622,0.00809,The Hound of the Baskervilles,1921
340758,-0.002016,Never Mention Murder,1965
361975,-0.005604,The Hoop of Bermuda,1988
382290,0.043882,M・Y・F・A・C・E,2005
440871,-0.007474,Ghost Valley Raiders,1940
444713,-0.026856,Commando 2 - The Black Money Trail,2017
453424,0.011419,Dr. Masher,1969
459420,-0.007084,The Four Just Men,1921
482337,-0.010769,Benaam,1999
483586,0.027796,Rites of Blood,2004
510733,0.002963,The Ghost Breaker,1922
517574,-0.006103,Doombeach,1989
535249,0.006509,Our Correspondent,1959
539980,-0.016591,Maigret at the Minister,1987
547231,-0.027972,Pizza Hunt,2003
548084,0.021025,The Perfect Murder,1992
630737,-0.022381,2099: The Soldier Protocol,2019
633786,0.005098,Faulty Father,2019
651517,0.003145,Riverdead,2007
668985,-3.1e-05,Who Killed Eve?,1934
747083,-0.004213,Noite de Lamentações (Night of Wails),2020
752825,0.013789,The Demon,1970
752851,-0.011621,Case of a Young Lord 7: Red Crane House,1958
781001,0.021573,That,2012
789473,0.006016,The Mysterious Mr. Hyde,1964
795813,-0.021348,I'm Your Man,2021
872243,0.019764,Darkman,1992
921652,-0.006323,Body of Ashes,2022
929912,-0.018648,Droga Digitale,2022
938049,0.013201,Donor,2021
990167,-5e-06,Dead Pigeon on Beethoven Street,1972
1013699,0.021665,The Shining Pyramid,1979
1068455,0.00761,All That You Love Will Be Carried Away,2019
1075682,-0.000804,Three Silhouettes in Black,1985
1114351,0.025301,Actual Record! Real Horror Posted Video 31,2016
1156131,-0.019295,두번째 상봉,1967
1225036,-0.016091,Ha Khel Savlyancha,1976
1487521,-0.005803,Conserva,2025
1494221,0.008882,Sticks and Stones: Investigating the Blair Witch,1999
1577810,0.007257,Pandora's Box,2025
1615804,-0.013864,The Big Scoop: Challenge at Twilight,1959
1634691,-0.029532,Little Signs,2026
1638974,0.015911,Fools in the Dark,1924
1700685,0.000449,This is Not an Exit,2025
