id,true_genre,pred_genre,agree,sim_horror,sim_scifi,sim_thriller,sim_mystery
2969,horror,horror,True,0.2499,0.1807,0.2217,0.2361
14594,mystery,mystery,True,0.2141,0.1865,0.2374,0.2453
19131,scifi,thriller,False,0.245,0.2323,0.2561,0.255
19169,thriller,mystery,False,0.2425,0.2133,0.2284,0.2541
19971,thriller,thriller,True,0.2247,0.1788,0.2479,0.2421
20043,scifi,scifi,True,0.226,0.2698,0.2433,0.2462
24008,scifi,mystery,False,0.2428,0.2013,0.2496,0.2624
25004,thriller,thriller,True,0.2402,0.1996,0.2524,0.2392
27509,thriller,mystery,False,0.2442,0.2081,0.2667,0.2729
28910,horror,horror,True,0.2982,0.2309,0.2691,0.2658
29297,scifi,scifi,True,0.2375,0.2724,0.2341,0.2451
31948,thriller,thriller,True,0.2726,0.2499,0.2769,0.2735
32849,thriller,mystery,False,0.2297,0.2124,0.259,0.2628
33546,horror,mystery,False,0.2069,0.1906,0.2325,0.238
34734,horror,thriller,False,0.2612,0.2326,0.2675,0.245
36778,horror,horror,True,0.2453,0.1782,0.2295,0.2402
38456,thriller,mystery,False,0.2678,0.2344,0.2942,0.2961
40091,horror,mystery,False,0.2518,0.1913,0.2385,0.2529
40252,horror,horror,True,0.2688,0.2332,0.2525,0.2503
44169,mystery,thriller,False,0.2435,0.2541,0.2741,0.2654
47062,mystery,mystery,True,0.2408,0.2294,0.2544,0.2599
47286,horror,mystery,False,0.2517,0.2307,0.2501,0.2577
51565,mystery,mystery,True,0.2457,0.2145,0.2694,0.2848
52204,horror,horror,True,0.2676,0.2336,0.2579,0.2527
54539,scifi,mystery,False,0.2291,0.241,0.2345,0.2565
56429,horror,horror,True,0.2611,0.2544,0.2467,0.2375
58421,thriller,thriller,True,0.2299,0.2119,0.244,0.2341
60523,thriller,thriller,True,0.2353,0.1844,0.2473,0.2465
64568,horror,horror,True,0.2886,0.2466,0.2605,0.2573
67430,scifi,horror,False,0.2663,0.2592,0.248,0.2501
69351,thriller,mystery,False,0.2298,0.1983,0.2236,0.2357
74707,mystery,mystery,True,0.2618,0.2027,0.2647,0.3257
75506,scifi,mystery,False,0.2391,0.2375,0.2294,0.2492
77067,horror,thriller,False,0.2336,0.1908,0.2587,0.2352
80342,thriller,mystery,False,0.217,0.1898,0.2128,0.2218
81829,thriller,mystery,False,0.2357,0.2109,0.2354,0.2424
84770,thriller,thriller,True,0.268,0.2574,0.2815,0.2769
93394,horror,mystery,False,0.2294,0.2101,0.2379,0.2469
94716,thriller,horror,False,0.2598,0.1951,0.2508,0.249
136686,scifi,horror,False,0.2373,0.2178,0.2236,0.2355
138999,horror,horror,True,0.257,0.2003,0.2439,0.2366
140418,thriller,mystery,False,0.2064,0.1799,0.2245,0.2372
160399,scifi,scifi,True,0.1924,0.2398,0.2047,0.221
173095,horror,horror,True,0.2662,0.1894,0.2353,0.2272
201989,horror,mystery,False,0.1974,0.2002,0.2096,0.2172
213215,horror,thriller,False,0.2403,0.2431,0.2582,0.2521
214905,mystery,mystery,True,0.2074,0.2133,0.2348,0.2648
224473,horror,mystery,False,0.2506,0.2104,0.2433,0.251
249294,thriller,mystery,False,0.2202,0.1903,0.2232,0.2303
267338,mystery,mystery,True,0.2375,0.1867,0.2266,0.245
280002,horror,horror,True,0.2711,0.237,0.251,0.2471
294307,thriller,thriller,True,0.2563,0.2071,0.278,0.2503
299460,horror,horror,True,0.2766,0.2223,0.262,0.2722
324153,mystery,horror,False,0.2651,0.2224,0.2596,0.2622
324621,scifi,horror,False,0.2469,0.2261,0.2411,0.2453
325622,mystery,mystery,True,0.2502,0.1874,0.2474,0.2723
340758,mystery,mystery,True,0.2478,0.1864,0.2771,0.2865
361975,scifi,scifi,True,0.2275,0.2751,0.2427,0.2549
382290,horror,horror,True,0.2688,0.188,0.233,0.2459
440871,mystery,mystery,True,0.2349,0.2325,0.2521,0.2649
444713,thriller,thriller,True,0.1946,0.1843,0.2401,0.2178
453424,horror,mystery,False,0.2506,0.2138,0.2488,0.2662
459420,thriller,mystery,False,0.211,0.1945,0.2284,0.2414
482337,horror,thriller,False,0.2612,0.2154,0.2745,0.2638
483586,horror,horror,True,0.2878,0.1981,0.2626,0.2654
510733,horror,horror,True,0.2416,0.1757,0.2331,0.2414
517574,thriller,horror,False,0.2412,0.2244,0.2293,0.2268
535249,thriller,mystery,False,0.2664,0.2341,0.2757,0.2793
539980,mystery,mystery,True,0.2249,0.2039,0.2442,0.2621
547231,horror,mystery,False,0.1934,0.219,0.2262,0.2377
548084,thriller,horror,False,0.2799,0.2365,0.2786,0.2729
630737,scifi,scifi,True,0.2207,0.2693,0.2475,0.2142
633786,scifi,thriller,False,0.2753,0.2458,0.2871,0.2723
651517,horror,scifi,False,0.2455,0.2475,0.245,0.2409
668985,mystery,mystery,True,0.237,0.1868,0.2436,0.2668
747083,thriller,thriller,True,0.1834,0.1748,0.2035,0.1987
752825,horror,horror,True,0.2571,0.2011,0.2499,0.2477
752851,mystery,mystery,True,0.2488,0.2235,0.25,0.2522
781001,horror,horror,True,0.2431,0.175,0.2394,0.2322
789473,horror,mystery,False,0.2271,0.2173,0.2308,0.2549
795813,scifi,thriller,False,0.2364,0.2172,0.2621,0.2573
872243,scifi,thriller,False,0.2683,0.205,0.2693,0.2688
921652,thriller,thriller,True,0.2362,0.2061,0.2447,0.2404
929912,thriller,thriller,True,0.181,0.1626,0.2155,0.206
938049,horror,horror,True,0.2363,0.2129,0.2305,0.2355
990167,thriller,thriller,True,0.2677,0.2093,0.2858,0.2761
1013699,horror,horror,True,0.2486,0.2233,0.2193,0.2404
1068455,thriller,mystery,False,0.2478,0.2273,0.2448,0.2483
1075682,horror,mystery,False,0.2,0.1981,0.2025,0.2052
1114351,horror,horror,True,0.2886,0.2032,0.2882,0.2711
1156131,mystery,mystery,True,0.1963,0.1903,0.2257,0.2271
1225036,horror,mystery,False,0.2017,0.1771,0.2072,0.2253
1487521,horror,mystery,False,0.2048,0.1699,0.2053,0.2292
1494221,horror,mystery,False,0.2344,0.1955,0.232,0.2397
1577810,thriller,mystery,False,0.2409,0.1975,0.2462,0.2645
1615804,mystery,mystery,True,0.1789,0.1649,0.2055,0.2189
1634691,mystery,thriller,False,0.2485,0.2365,0.2671,0.2622
1638974,thriller,horror,False,0.2416,0.1863,0.2209,0.2398
1700685,thriller,horror,False,0.2362,0.1668,0.2123,0.1942
