id,title,year,symmetry,neg_space,complexity,mass_y,mass_x,text_area,text_y,text_regions,align_score,thirds_dist,n_blocks,balance,harmony,diagonal_score,pyramid_shift
2969,A Daughter Of Destiny,1928,0.7644,0.2452,0.1386,0.4791,0.5414,0.3144,0.4152,330,0.11,0.2357,5,0.0491,0.9074,0.5487,0.0509
14594,The Thin Man Goes Home,1944,0.6292,0.4057,0.1098,0.5335,0.4608,0.266,0.5254,279,0.1114,0.1988,5,0.0619,0.9444,0.1578,0.1249
19131,Scotland Yard Hunts Dr. Mabuse,1963,0.8524,0.4206,0.1166,0.6401,0.4843,0.1795,0.5874,250,0.0384,0.223,12,0.2019,0.9444,0.3019,-0.0292
19169,Nightmare Alley,1947,0.9263,0.3683,0.1563,0.4155,0.4966,0.2039,0.5105,269,0.0512,0.2357,9,0.1054,0.8704,0.388,-0.1874
19971,The Little Girl Who Lives Down the Lane,1976,0.8171,0.6485,0.1091,0.6156,0.534,0.197,0.4437,433,0.0462,0.217,8,0.1071,0.9074,0.4035,0.2307
20043,Royal Space Force - The Wings of Honneamise,1987,0.8306,0.2241,0.2076,0.4683,0.4761,0.3799,0.4823,361,0.085,0.2292,5,0.0881,0.9444,0.2581,0.0303
24008,Monkey Business,1952,0.7961,0.188,0.1567,0.5529,0.4946,0.2934,0.5993,317,0.0742,0.2045,7,0.0348,0.9074,0.348,0.1159
25004,Black Ice,2007,0.7919,0.2222,0.1048,0.4448,0.5039,0.1966,0.387,280,0.0713,0.2357,7,0.0393,0.9074,0.4649,-0.2298
27509,The Penalty,1920,0.708,0.4172,0.1173,0.4888,0.5572,0.2071,0.3889,329,0.0757,0.167,7,0.0561,0.9074,0.3757,0.1931
28910,Mark of the Vampire,1935,0.7728,0.3134,0.1782,0.502,0.4604,0.3867,0.4994,412,0.0449,0.2357,8,0.0526,0.9444,0.2314,0.0551
29297,Destination Inner Space,1966,0.8133,0.2264,0.1906,0.5299,0.513,0.4562,0.5204,482,0.1181,0.2344,3,0.0917,0.9444,0.5381,0.0751
31948,Gray Lady Down,1978,0.7373,0.0457,0.233,0.51,0.5571,0.3587,0.4467,428,0.1433,0.2357,5,0.0597,0.9074,0.3726,0.099
32849,Abandoned,1949,0.7232,0.4273,0.1617,0.4741,0.5217,0.3906,0.4978,697,0.0781,0.2357,5,0.0413,0.9074,0.0434,-0.124
33546,The Time of Their Lives,1946,0.8698,0.2061,0.145,0.5591,0.5087,0.2883,0.5827,294,0.0447,0.1963,9,0.0404,0.9074,0.4305,0.0761
34734,Stir of Echoes: The Homecoming,2007,0.7289,0.0904,0.2093,0.4132,0.4577,0.2558,0.4637,329,0.0328,0.2357,14,0.1666,0.9074,0.4041,0.144
36778,Spellbinder,1988,0.9035,0.582,0.0661,0.5704,0.4788,0.1311,0.5275,180,0.0835,0.2035,8,0.0616,0.9444,0.2089,0.0242
38456,Charlie Chan's Murder Cruise,1940,0.5965,0.1435,0.2108,0.475,0.45,0.4641,0.4981,541,0.1272,0.2357,3,0.0672,0.9444,0.3163,-0.1036
40091,Sex Madness,1938,0.6988,0.4493,0.1395,0.4267,0.4818,0.1889,0.4667,236,0.0358,0.1973,14,0.085,0.9444,0.3493,-0.0834
40252,Witchboard III: The Possession,1997,0.8878,0.3211,0.1354,0.5649,0.484,0.1701,0.5452,174,0.0352,0.2056,12,0.0475,0.9444,0.3514,0.0785
44169,The Falcon in Danger,1943,0.7517,0.3458,0.0967,0.4631,0.4927,0.1615,0.5411,193,0.0537,0.2357,10,0.1193,0.9444,0.3498,0.1243
47062,Miraculous Virgin,1967,0.8262,0.3081,0.1029,0.3679,0.4526,0.1219,0.5005,317,0.0681,0.2357,8,0.1015,1.0,0.3748,0.0878
47286,Cool Air,1999,0.8232,0.1064,0.239,0.5312,0.47,0.286,0.5008,366,0.0341,0.2318,7,0.079,0.8704,0.1763,0.0015
51565,The Dragon Murder Case,1934,0.6822,0.3109,0.1519,0.4256,0.5065,0.4663,0.4238,600,0.1049,0.2357,4,0.0662,0.8704,0.5861,-0.0474
52204,The Brain Eaters,1958,0.7193,0.0529,0.2215,0.5102,0.4856,0.5436,0.4981,764,0.1036,0.2357,5,0.0518,0.9074,0.2577,0.0248
54539,The Inhuman Woman,1924,0.7766,0.333,0.1541,0.4905,0.4957,0.2344,0.4985,272,0.0642,0.1925,9,0.0314,0.9444,0.3119,-0.1436
56429,Up from the Depths,1979,0.8696,0.1231,0.1259,0.552,0.5093,0.2384,0.4557,365,0.0299,0.2357,2,0.1393,0.9444,0.3413,-0.0611
58421,Ignition,2002,0.7082,0.1144,0.1896,0.4343,0.4941,0.362,0.4826,598,0.0365,0.2357,12,0.1462,0.9444,0.4668,0.0055
60523,Chicago Calling,1951,0.7888,0.4038,0.1501,0.5172,0.5465,0.3808,0.5108,462,0.131,0.1839,5,0.061,0.9444,0.3515,-0.0328
64568,Taste of Fear,1961,0.834,0.5685,0.1226,0.4503,0.5252,0.2512,0.4935,345,0.0509,0.2357,7,0.111,0.8704,0.3137,-0.0601
67430,Zoo zéro,1979,0.7953,0.1632,0.1681,0.5294,0.4845,0.2621,0.5006,317,0.0542,0.217,9,0.0733,0.9444,0.3321,-0.021
69351,Beauty and the Beast,2005,0.7915,0.0767,0.2106,0.4783,0.4714,0.3642,0.5185,500,0.0617,0.2357,6,0.0268,0.9074,0.3103,-0.1579
74707,Mystery House,1938,0.6471,0.1339,0.1742,0.5126,0.5007,0.3295,0.4912,411,0.0414,0.2357,7,0.0401,0.9074,0.4058,-0.004
75506,World Without End,1956,0.7741,0.1001,0.2209,0.4877,0.4944,0.53,0.4981,565,0.1106,0.2357,3,0.0479,0.9444,0.2706,-0.0313
77067,DeadHeads,2011,0.7629,0.1457,0.2133,0.4972,0.5047,0.2488,0.4928,385,0.0517,0.2357,10,0.0231,0.9444,0.2605,-0.0048
80342,Lady Dragon 2,1993,0.8575,0.3879,0.1646,0.5659,0.5184,0.2904,0.4887,381,0.1027,0.2357,5,0.1304,0.9444,0.2862,0.0059
81829,Bulldog Drummond,1929,0.8514,0.3788,0.1376,0.5309,0.5002,0.3666,0.471,451,0.0817,0.2305,5,0.057,0.9444,0.4277,0.1666
84770,The Large Rope,1953,0.7684,0.0567,0.1782,0.4246,0.5419,0.5197,0.4982,671,0.1044,0.2357,6,0.1499,0.9074,0.3614,-0.0206
93394,Elevator,2013,0.9591,0.4456,0.0604,0.4653,0.4959,0.1818,0.4626,285,0.0592,0.2196,7,0.0477,0.9444,0.0,0.0043
94716,A Cottage on Dartmoor,1929,0.8024,0.1844,0.1408,0.5348,0.4899,0.2509,0.5668,501,0.0823,0.2357,8,0.0464,-1.0,0.3053,-0.0181
136686,Doraemon: Nobita and the Green Giant Legend,2008,0.7933,0.0822,0.2408,0.5273,0.4976,0.3564,0.4574,338,0.047,0.2357,7,0.0348,0.9074,0.4402,-0.0804
138999,Little Corey Gorey,1993,0.8692,0.0868,0.2059,0.4967,0.5222,0.2763,0.4981,204,0.0449,0.2357,12,0.039,0.9074,0.2867,0.1427
140418,Bulldog Drummond at Bay,1937,0.7669,0.0644,0.1426,0.4681,0.4351,0.2634,0.4593,551,0.0315,0.2357,13,0.1098,0.8333,0.2043,-0.0909
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,0.8111,0.067,0.228,0.4723,0.4933,0.4637,0.4504,489,0.1354,0.2357,3,0.0336,0.9074,0.458,-0.0151
173095,The Brides Wore Blood,1972,0.7342,0.2057,0.1701,0.5496,0.4743,0.2721,0.5045,350,0.0729,0.2357,6,0.0753,0.9259,0.276,-0.0006
201989,Bottles,1936,0.8983,0.4986,0.0761,0.5134,0.5178,0.2176,0.4886,177,0.0776,0.2181,6,0.0237,0.9444,0.415,0.183
213215,The Returning,1983,0.9453,0.5745,0.0748,0.7699,0.5278,0.0664,0.803,87,0.0558,0.1835,5,0.3013,0.9074,0.0,0.5605
214905,Below the Deadline,1936,0.7861,0.1217,0.2221,0.5134,0.5021,0.4184,0.5004,603,0.0394,0.2357,6,0.02,0.9444,0.2778,0.0196
224473,The Sweet Sound of Death,1965,0.7661,0.1656,0.236,0.5739,0.4725,0.4688,0.5056,663,0.0071,0.2242,2,0.1151,0.9074,0.4025,-0.0301
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,0.8742,0.5192,0.0824,0.5489,0.4634,0.1491,0.4613,229,0.0637,0.1696,7,0.1338,0.9444,0.2243,-0.0842
267338,"Love, Honor and Oh-Baby!",1940,0.797,0.2162,0.1794,0.499,0.4788,0.4728,0.5056,490,0.062,0.2357,7,0.0182,0.9074,0.3899,-0.0129
280002,The Remaining,2014,0.8796,0.0789,0.1836,0.437,0.5022,0.1789,0.4679,321,0.033,0.2357,11,0.1086,0.9074,0.2614,0.0032
294307,The Last Hit,1993,0.8808,0.3709,0.1459,0.544,0.4856,0.1617,0.5023,262,0.0342,0.2305,12,0.0731,0.9074,0.0362,0.0241
299460,The Mother  Tree,1958,0.7256,0.0303,0.2749,0.4944,0.5135,0.6387,0.498,940,0.0,0.2357,2,0.0209,0.9444,0.3079,-0.0286
