id,title,year,clipiqa,musiq,brisque,error
2969,A Daughter Of Destiny,1928,0.4054,36.3337,36.0571,
14594,The Thin Man Goes Home,1944,0.7847,72.56,27.2044,
19131,Scotland Yard Hunts Dr. Mabuse,1963,0.6862,61.8464,14.7161,
19169,Nightmare Alley,1947,0.6282,74.389,32.0945,
19971,The Little Girl Who Lives Down the Lane,1976,0.6363,58.9562,36.1687,
20043,Royal Space Force - The Wings of Honneamise,1987,0.7268,66.6763,14.8215,
24008,Monkey Business,1952,0.808,66.2029,-5.8481,
25004,Black Ice,2007,0.7178,70.5511,15.6028,
27509,The Penalty,1920,0.7446,67.3054,-2.4263,
28910,Mark of the Vampire,1935,0.6521,46.7825,23.6715,
29297,Destination Inner Space,1966,0.6752,64.9388,9.763,
31948,Gray Lady Down,1978,0.7376,66.4263,19.9404,
32849,Abandoned,1949,0.6093,71.9443,27.9464,
33546,The Time of Their Lives,1946,0.6572,54.506,16.4215,
34734,Stir of Echoes: The Homecoming,2007,0.6176,45.4589,5.8387,
36778,Spellbinder,1988,0.4496,33.5151,23.8522,
38456,Charlie Chan's Murder Cruise,1940,0.7461,60.3715,8.9133,
40091,Sex Madness,1938,0.6873,59.0335,43.2616,
40252,Witchboard III: The Possession,1997,0.6938,46.8504,25.6158,
44169,The Falcon in Danger,1943,0.3006,45.7346,26.0902,
47062,Miraculous Virgin,1967,0.7614,61.1518,5.9734,
47286,Cool Air,1999,0.6558,58.5296,31.8256,
51565,The Dragon Murder Case,1934,0.5814,69.7508,16.0206,
52204,The Brain Eaters,1958,0.6438,71.3032,17.5001,
54539,The Inhuman Woman,1924,0.6315,67.7211,12.8501,
56429,Up from the Depths,1979,0.7398,65.7978,11.7389,
58421,Ignition,2002,0.7249,62.7108,4.8121,
60523,Chicago Calling,1951,0.7364,73.8305,18.1263,
64568,Taste of Fear,1961,0.712,65.1146,25.287,
67430,Zoo zéro,1979,0.6344,64.9871,9.5744,
69351,Beauty and the Beast,2005,0.6933,65.6395,2.624,
74707,Mystery House,1938,0.5849,60.1803,6.8571,
75506,World Without End,1956,0.7343,69.6843,17.8345,
77067,DeadHeads,2011,0.6416,68.2802,15.2785,
80342,Lady Dragon 2,1993,0.7083,76.1808,25.6758,
81829,Bulldog Drummond,1929,0.749,63.284,36.5656,
84770,The Large Rope,1953,0.7986,56.1972,22.4142,
93394,Elevator,2013,0.7026,68.6859,3.4769,
94716,A Cottage on Dartmoor,1929,0.8245,55.5567,1.2213,
136686,Doraemon: Nobita and the Green Giant Legend,2008,0.7608,75.9429,10.0614,
138999,Little Corey Gorey,1993,0.622,57.9045,5.6783,
140418,Bulldog Drummond at Bay,1937,0.5328,40.1772,90.7176,
160399,Megazone 23 III - Part 1 - The Awakening of Eve,1989,0.7472,66.7958,11.8954,
173095,The Brides Wore Blood,1972,0.304,44.7384,40.0688,
201989,Bottles,1936,0.2002,32.4831,58.5302,
213215,The Returning,1983,0.6079,42.7551,51.1487,
214905,Below the Deadline,1936,0.7253,68.4463,10.5128,
224473,The Sweet Sound of Death,1965,0.5853,56.2041,11.2965,
249294,Celia: The Sinister Affair of Poor Aunt Nora,1949,0.7287,56.0618,49.9076,
267338,"Love, Honor and Oh-Baby!",1940,0.7308,75.1608,17.4801,
280002,The Remaining,2014,0.4628,37.82,27.2516,
294307,The Last Hit,1993,0.5779,57.4436,24.1761,
299460,The Mother  Tree,1958,0.1266,23.2712,64.0049,
324153,The Shadow Laughs,1933,0.7099,70.8252,5.6542,
324621,The Return,1980,0.6927,73.3684,26.0572,
325622,The Hound of the Baskervilles,1921,0.7095,60.1075,13.2281,
340758,Never Mention Murder,1965,0.649,69.4809,12.2272,
361975,The Hoop of Bermuda,1988,0.6524,60.1091,14.7069,
382290,M・Y・F・A・C・E,2005,0.4709,36.3387,24.7664,
440871,Ghost Valley Raiders,1940,0.7251,69.5035,6.634,
444713,Commando 2 - The Black Money Trail,2017,0.5793,56.8067,24.9323,
453424,Dr. Masher,1969,0.5207,50.6024,6.8521,
459420,The Four Just Men,1921,0.6173,51.7943,51.8203,
482337,Benaam,1999,0.3213,44.4633,38.5764,
483586,Rites of Blood,2004,0.2276,40.6427,40.339,
510733,The Ghost Breaker,1922,0.7431,67.3758,16.5077,
517574,Doombeach,1989,0.5707,42.7726,46.8653,
535249,Our Correspondent,1959,0.6775,55.2001,23.8143,
539980,Maigret at the Minister,1987,0.6094,72.5279,6.3674,
547231,Pizza Hunt,2003,0.194,35.9609,48.9552,
548084,The Perfect Murder,1992,0.7662,68.226,33.9207,
630737,2099: The Soldier Protocol,2019,0.71,74.5003,33.7075,
633786,Faulty Father,2019,0.7055,65.1258,10.9689,
651517,Riverdead,2007,0.3798,58.1934,26.8344,
668985,Who Killed Eve?,1934,0.6626,63.5443,12.7502,
747083,Noite de Lamentações (Night of Wails),2020,0.2989,48.0306,41.2247,
752825,The Demon,1970,0.4625,39.0084,34.4626,
752851,Case of a Young Lord 7: Red Crane House,1958,0.603,66.273,15.2099,
781001,That,2012,0.6171,36.4693,88.0977,
789473,The Mysterious Mr. Hyde,1964,0.6426,57.4879,14.5893,
795813,I'm Your Man,2021,0.806,77.4742,12.6935,
872243,Darkman,1992,0.3995,43.373,51.9192,
921652,Body of Ashes,2022,0.7003,71.5357,21.6386,
929912,Droga Digitale,2022,0.467,52.9551,34.9951,
938049,Donor,2021,0.276,49.2654,57.8705,
990167,Dead Pigeon on Beethoven Street,1972,0.7314,70.4331,5.5297,
1013699,The Shining Pyramid,1979,0.7318,60.2262,31.6369,
1068455,All That You Love Will Be Carried Away,2019,0.6305,75.3788,0.2219,
1075682,Three Silhouettes in Black,1985,0.5841,38.7594,49.9933,
1114351,Actual Record! Real Horror Posted Video 31,2016,0.541,52.3232,40.2368,
1156131,두번째 상봉,1967,0.6213,51.3878,19.791,
1225036,Ha Khel Savlyancha,1976,0.4419,46.0603,42.0657,
1487521,Conserva,2025,0.5266,42.2715,38.2416,
1494221,Sticks and Stones: Investigating the Blair Witch,1999,0.7562,48.4696,120.5984,
1577810,Pandora's Box,2025,0.6931,56.6703,34.6319,
1615804,The Big Scoop: Challenge at Twilight,1959,0.755,67.5855,6.7489,
1634691,Little Signs,2026,0.6335,70.2664,19.0911,
1638974,Fools in the Dark,1924,0.5251,68.1733,42.788,
1700685,This is Not an Exit,2025,0.3898,47.4754,32.509,
