id,label,score,year,title
2969,witch,0.557,1928,A Daughter Of Destiny
14594,none,0.617,1944,The Thin Man Goes Home
19131,uncertain,0.209,1963,Scotland Yard Hunts Dr. Mabuse
19169,uncertain,0.465,1947,Nightmare Alley
19971,witch,0.613,1976,The Little Girl Who Lives Down the Lane
20043,uncertain,0.477,1987,Royal Space Force - The Wings of Honneamise
24008,uncertain,0.472,1952,Monkey Business
25004,uncertain,0.359,2007,Black Ice
27509,uncertain,0.244,1920,The Penalty
28910,uncertain,0.431,1935,Mark of the Vampire
29297,alien,0.883,1966,Destination Inner Space
31948,shark,0.705,1978,Gray Lady Down
32849,uncertain,0.262,1949,Abandoned
33546,uncertain,0.235,1946,The Time of Their Lives
34734,uncertain,0.232,2007,Stir of Echoes: The Homecoming
36778,witch,0.882,1988,Spellbinder
38456,uncertain,0.439,1940,Charlie Chan's Murder Cruise
40091,uncertain,0.241,1938,Sex Madness
40252,witch,0.899,1997,Witchboard III: The Possession
44169,uncertain,0.275,1943,The Falcon in Danger
47062,uncertain,0.428,1967,Miraculous Virgin
47286,uncertain,0.291,1999,Cool Air
51565,uncertain,0.225,1934,The Dragon Murder Case
52204,uncertain,0.406,1958,The Brain Eaters
54539,witch,0.754,1924,The Inhuman Woman
56429,uncertain,0.433,1979,Up from the Depths
58421,uncertain,0.457,2002,Ignition
60523,uncertain,0.442,1951,Chicago Calling
64568,uncertain,0.342,1961,Taste of Fear
67430,uncertain,0.307,1979,Zoo zéro
69351,uncertain,0.24,2005,Beauty and the Beast
74707,uncertain,0.444,1938,Mystery House
75506,witch,0.864,1956,World Without End
77067,zombie,0.943,2011,DeadHeads
80342,snake,0.502,1993,Lady Dragon 2
81829,uncertain,0.278,1929,Bulldog Drummond
84770,uncertain,0.139,1953,The Large Rope
93394,uncertain,0.305,2013,Elevator
94716,witch,0.692,1929,A Cottage on Dartmoor
136686,uncertain,0.341,2008,Doraemon: Nobita and the Green Giant Legend
138999,doll,0.808,1993,Little Corey Gorey
140418,uncertain,0.392,1937,Bulldog Drummond at Bay
160399,uncertain,0.25,1989,Megazone 23 III - Part 1 - The Awakening of Eve
173095,uncertain,0.447,1972,The Brides Wore Blood
201989,uncertain,0.459,1936,Bottles
213215,uncertain,0.233,1983,The Returning
214905,skeleton,0.562,1936,Below the Deadline
224473,witch,0.735,1965,The Sweet Sound of Death
249294,witch,0.546,1949,Celia: The Sinister Affair of Poor Aunt Nora
267338,uncertain,0.414,1940,"Love, Honor and Oh-Baby!"
280002,uncertain,0.488,2014,The Remaining
294307,masked_killer,0.627,1993,The Last Hit
299460,witch,0.527,1958,The Mother  Tree
324153,witch,0.503,1933,The Shadow Laughs
324621,uncertain,0.238,1980,The Return
325622,uncertain,0.171,1921,The Hound of the Baskervilles
340758,masked_killer,0.814,1965,Never Mention Murder
361975,witch,0.608,1988,The Hoop of Bermuda
382290,doll,0.997,2005,M・Y・F・A・C・E
440871,uncertain,0.457,1940,Ghost Valley Raiders
444713,uncertain,0.27,2017,Commando 2 - The Black Money Trail
453424,uncertain,0.296,1969,Dr. Masher
459420,uncertain,0.198,1921,The Four Just Men
482337,uncertain,0.24,1999,Benaam
483586,witch,0.693,2004,Rites of Blood
510733,ghost,0.686,1922,The Ghost Breaker
517574,uncertain,0.251,1989,Doombeach
535249,uncertain,0.295,1959,Our Correspondent
539980,uncertain,0.48,1987,Maigret at the Minister
547231,uncertain,0.431,2003,Pizza Hunt
548084,uncertain,0.328,1992,The Perfect Murder
630737,masked_killer,0.664,2019,2099: The Soldier Protocol
633786,uncertain,0.416,2019,Faulty Father
651517,uncertain,0.411,2007,Riverdead
668985,uncertain,0.331,1934,Who Killed Eve?
747083,uncertain,0.485,2020,Noite de Lamentações (Night of Wails)
752825,demon,0.81,1970,The Demon
752851,uncertain,0.373,1958,Case of a Young Lord 7: Red Crane House
781001,uncertain,0.487,2012,That
789473,witch,0.744,1964,The Mysterious Mr. Hyde
795813,none,0.886,2021,I'm Your Man
872243,masked_killer,0.938,1992,Darkman
921652,uncertain,0.241,2022,Body of Ashes
929912,wolf_dog,0.664,2022,Droga Digitale
938049,uncertain,0.364,2021,Donor
990167,uncertain,0.287,1972,Dead Pigeon on Beethoven Street
1013699,snake,0.577,1979,The Shining Pyramid
1068455,uncertain,0.263,2019,All That You Love Will Be Carried Away
1075682,uncertain,0.242,1985,Three Silhouettes in Black
1114351,uncertain,0.47,2016,Actual Record! Real Horror Posted Video 31
1156131,uncertain,0.211,1967,두번째 상봉
1225036,uncertain,0.341,1976,Ha Khel Savlyancha
1487521,none,0.885,2025,Conserva
1494221,witch,0.944,1999,Sticks and Stones: Investigating the Blair Witch
1577810,uncertain,0.431,2025,Pandora's Box
1615804,uncertain,0.238,1959,The Big Scoop: Challenge at Twilight
1634691,none,0.864,2026,Little Signs
1638974,uncertain,0.369,1924,Fools in the Dark
1700685,uncertain,0.274,2025,This is Not an Exit
