id,pred_genre,true_genre,agree
2969,horror,horror,True
14594,mystery,mystery,True
19131,horror,scifi,False
19169,horror,thriller,False
19971,mystery,thriller,False
20043,scifi,scifi,True
24008,mystery,scifi,False
25004,thriller,thriller,True
27509,mystery,thriller,False
28910,horror,horror,True
29297,scifi,scifi,True
31948,horror,thriller,False
32849,mystery,thriller,False
33546,mystery,horror,False
34734,thriller,horror,False
36778,horror,horror,True
38456,mystery,thriller,False
40091,horror,horror,True
40252,horror,horror,True
44169,horror,mystery,False
47062,horror,mystery,False
47286,horror,horror,True
51565,mystery,mystery,True
52204,horror,horror,True
54539,mystery,scifi,False
56429,horror,horror,True
58421,thriller,thriller,True
60523,mystery,thriller,False
64568,horror,horror,True
67430,horror,scifi,False
69351,horror,thriller,False
74707,mystery,mystery,True
75506,horror,scifi,False
77067,thriller,horror,False
80342,horror,thriller,False
81829,scifi,thriller,False
84770,horror,thriller,False
93394,horror,horror,True
94716,mystery,thriller,False
136686,mystery,scifi,False
138999,horror,horror,True
140418,mystery,thriller,False
160399,scifi,scifi,True
173095,horror,horror,True
201989,horror,horror,True
213215,thriller,horror,False
214905,mystery,mystery,True
224473,mystery,horror,False
249294,horror,thriller,False
267338,horror,mystery,False
280002,horror,horror,True
294307,thriller,thriller,True
299460,horror,horror,True
324153,horror,mystery,False
324621,scifi,scifi,True
325622,mystery,mystery,True
340758,mystery,mystery,True
361975,scifi,scifi,True
382290,horror,horror,True
440871,horror,mystery,False
444713,thriller,thriller,True
453424,horror,horror,True
459420,mystery,thriller,False
482337,thriller,horror,False
483586,horror,horror,True
510733,horror,horror,True
517574,horror,thriller,False
535249,mystery,thriller,False
539980,mystery,mystery,True
547231,mystery,horror,False
548084,horror,thriller,False
630737,scifi,scifi,True
633786,thriller,scifi,False
651517,horror,horror,True
668985,mystery,mystery,True
747083,thriller,thriller,True
752825,horror,horror,True
752851,horror,mystery,False
781001,horror,horror,True
789473,mystery,horror,False
795813,thriller,scifi,False
872243,horror,scifi,False
921652,thriller,thriller,True
929912,thriller,thriller,True
938049,thriller,horror,False
990167,horror,thriller,False
1013699,horror,horror,True
1068455,horror,thriller,False
1075682,thriller,horror,False
1114351,horror,horror,True
1156131,mystery,mystery,True
1225036,thriller,horror,False
1487521,mystery,horror,False
1494221,horror,horror,True
1577810,mystery,thriller,False
1615804,mystery,mystery,True
1634691,thriller,mystery,False
1638974,horror,thriller,False
1700685,horror,thriller,False
