id,axis,title,year
2969,0.017232,A Daughter Of Destiny,1928
14594,0.003618,The Thin Man Goes Home,1944
19131,-0.001713,Scotland Yard Hunts Dr. Mabuse,1963
19169,0.048857,Nightmare Alley,1947
19971,0.000122,The Little Girl Who Lives Down the Lane,1976
20043,0.032799,Royal Space Force - The Wings of Honneamise,1987
24008,0.016127,Monkey Business,1952
25004,-0.009315,Black Ice,2007
27509,0.008545,The Penalty,1920
28910,0.019381,Mark of the Vampire,1935
29297,0.025687,Destination Inner Space,1966
31948,0.035188,Gray Lady Down,1978
32849,0.003233,Abandoned,1949
33546,0.006166,The Time of Their Lives,1946
34734,0.005716,Stir of Echoes: The Homecoming,2007
36778,0.010937,Spellbinder,1988
38456,0.020001,Charlie Chan's Murder Cruise,1940
40091,0.016962,Sex Madness,1938
40252,0.017055,Witchboard III: The Possession,1997
44169,0.008019,The Falcon in Danger,1943
47062,-0.006384,Miraculous Virgin,1967
47286,0.015044,Cool Air,1999
51565,0.020253,The Dragon Murder Case,1934
52204,0.032671,The Brain Eaters,1958
54539,0.028114,The Inhuman Woman,1924
56429,0.02249,Up from the Depths,1979
58421,0.009768,Ignition,2002
60523,0.000656,Chicago Calling,1951
64568,0.011871,Taste of Fear,1961
67430,0.038912,Zoo zéro,1979
69351,0.021953,Beauty and the Beast,2005
74707,0.021252,Mystery House,1938
75506,0.034679,World Without End,1956
77067,0.000782,DeadHeads,2011
80342,0.029345,Lady Dragon 2,1993
81829,0.03223,Bulldog Drummond,1929
84770,0.032976,The Large Rope,1953
93394,-0.009922,Elevator,2013
94716,0.005624,A Cottage on Dartmoor,1929
136686,0.01979,Doraemon: Nobita and the Green Giant Legend,2008
138999,0.018951,Little Corey Gorey,1993
140418,-0.008806,Bulldog Drummond at Bay,1937
160399,0.018759,Megazone 23 III - Part 1 - The Awakening of Eve,1989
173095,0.021312,The Brides Wore Blood,1972
201989,0.019655,Bottles,1936
213215,0.002721,The Returning,1983
214905,0.029905,Below the Deadline,1936
224473,0.030383,The Sweet Sound of Death,1965
249294,0.012958,Celia: The Sinister Affair of Poor Aunt Nora,1949
267338,0.017737,"Love, Honor and Oh-Baby!",1940
280002,0.006441,The Remaining,2014
294307,0.002743,The Last Hit,1993
299460,0.025609,The Mother  Tree,1958
324153,0.024042,The Shadow Laughs,1933
324621,0.010712,The Return,1980
325622,0.02039,The Hound of the Baskervilles,1921
340758,-0.001921,Never Mention Murder,1965
361975,0.028534,The Hoop of Bermuda,1988
382290,0.018337,M・Y・F・A・C・E,2005
440871,0.020967,Ghost Valley Raiders,1940
444713,0.00941,Commando 2 - The Black Money Trail,2017
453424,0.015032,Dr. Masher,1969
459420,0.01768,The Four Just Men,1921
482337,0.010064,Benaam,1999
483586,0.018774,Rites of Blood,2004
510733,0.029304,The Ghost Breaker,1922
517574,0.00056,Doombeach,1989
535249,0.010059,Our Correspondent,1959
539980,0.005658,Maigret at the Minister,1987
547231,0.004157,Pizza Hunt,2003
548084,0.011912,The Perfect Murder,1992
630737,-0.011333,2099: The Soldier Protocol,2019
633786,-0.008585,Faulty Father,2019
651517,0.028931,Riverdead,2007
668985,0.037084,Who Killed Eve?,1934
747083,-0.016151,Noite de Lamentações (Night of Wails),2020
752825,-0.008373,The Demon,1970
752851,0.033997,Case of a Young Lord 7: Red Crane House,1958
781001,-0.007316,That,2012
789473,0.007119,The Mysterious Mr. Hyde,1964
795813,-0.001936,I'm Your Man,2021
872243,-0.009314,Darkman,1992
921652,-0.018532,Body of Ashes,2022
929912,-0.009006,Droga Digitale,2022
938049,-0.009768,Donor,2021
990167,-0.002134,Dead Pigeon on Beethoven Street,1972
1013699,0.033043,The Shining Pyramid,1979
1068455,0.017113,All That You Love Will Be Carried Away,2019
1075682,-0.010569,Three Silhouettes in Black,1985
1114351,0.008789,Actual Record! Real Horror Posted Video 31,2016
1156131,0.006848,두번째 상봉,1967
1225036,0.011342,Ha Khel Savlyancha,1976
1487521,-0.006223,Conserva,2025
1494221,-0.003731,Sticks and Stones: Investigating the Blair Witch,1999
1577810,0.005527,Pandora's Box,2025
1615804,0.010421,The Big Scoop: Challenge at Twilight,1959
1634691,-0.014507,Little Signs,2026
1638974,0.008821,Fools in the Dark,1924
1700685,0.010593,This is Not an Exit,2025
